Time,Ambient Dry Bulb (C),Ambient Relative Humidity (-),Ambient Pressure (kPa),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Wind Speed (m/s),Sky Temperature (C),Mains Temperature (C),Ground Temperature (C),Ambient Humidity Ratio (-),Ambient Wet Bulb (-),apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,dni_extraterrestrial,airmass,Exterior Wall Irradiance (W),"Exterior Wall Irradiance - 45 deg, poa_global (W/m^2)","Exterior Wall Irradiance - 45 deg, poa_direct (W/m^2)","Exterior Wall Irradiance - 45 deg, poa_diffuse (W/m^2)","Exterior Wall Irradiance - 45 deg, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - 45 deg, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - 225 deg, poa_global (W/m^2)","Exterior Wall Irradiance - 225 deg, poa_direct (W/m^2)","Exterior Wall Irradiance - 225 deg, poa_diffuse (W/m^2)","Exterior Wall Irradiance - 225 deg, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - 225 deg, poa_ground_diffuse (W/m^2)",Roof Irradiance (W),"Roof Irradiance - North, poa_global (W/m^2)","Roof Irradiance - North, poa_direct (W/m^2)","Roof Irradiance - North, poa_diffuse (W/m^2)","Roof Irradiance - North, poa_sky_diffuse (W/m^2)","Roof Irradiance - North, poa_ground_diffuse (W/m^2)",Window Irradiance (W),"Window Irradiance - 45 deg, poa_global (W/m^2)","Window Irradiance - 45 deg, poa_direct (W/m^2)","Window Irradiance - 45 deg, poa_diffuse (W/m^2)","Window Irradiance - 45 deg, poa_sky_diffuse (W/m^2)","Window Irradiance - 45 deg, poa_ground_diffuse (W/m^2)","Window Irradiance - 225 deg, poa_global (W/m^2)","Window Irradiance - 225 deg, poa_direct (W/m^2)","Window Irradiance - 225 deg, poa_diffuse (W/m^2)","Window Irradiance - 225 deg, poa_sky_diffuse (W/m^2)","Window Irradiance - 225 deg, poa_ground_diffuse (W/m^2)",Door Irradiance (W),"Door Irradiance - 225 deg, poa_global (W/m^2)","Door Irradiance - 225 deg, poa_direct (W/m^2)","Door Irradiance - 225 deg, poa_diffuse (W/m^2)","Door Irradiance - 225 deg, poa_sky_diffuse (W/m^2)","Door Irradiance - 225 deg, poa_ground_diffuse (W/m^2)",Horizontal Irradiance (W/m^2),Occupancy (Persons),MELs (kW),TV (kW),Indoor Lighting (kW),Dishwasher (L/min),Dishwasher (kW),Clothes Washer (L/min),Clothes Washer (kW),Clothes Dryer (kW),Clothes Dryer (therms/hour),Cooking Range (kW),Cooking Range (therms/hour),Water Heating (L/min),Water Heating Setpoint (C),Refrigerator (kW),Exterior Lighting (kW),HVAC Heating Setpoint (C),HVAC Cooling Setpoint (C)
2025-01-01 04:44:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,121.71265024060904,121.71265024060904,-31.712650240609044,-31.712650240609044,91.38947103027368,-3.6892362369326293,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:45:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,121.53781457079742,121.53781457079742,-31.537814570797423,-31.537814570797423,91.56520132055283,-3.6895629752980312,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:46:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,121.3629935088027,121.3629935088027,-31.362993508802706,-31.362993508802706,91.74062307748272,-3.6898897109131212,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:47:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,121.18818866557498,121.18818866557498,-31.188188665574977,-31.188188665574977,91.91574130689742,-3.690216443799727,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:48:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,121.01340164419615,121.01340164419615,-31.013401644196147,-31.013401644196147,92.09056097080497,-3.6905431738923653,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:49:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,120.83863403879883,120.83863403879883,-30.838634038798833,-30.838634038798833,92.26508698923357,-3.690869901314727,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:50:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,120.6638874366327,120.6638874366327,-30.663887436632713,-30.663887436632713,92.4393242389383,-3.691196625928569,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:51:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,120.48916329984327,120.48916329984327,-30.489163299843266,-30.489163299843266,92.61327767176044,-3.691523348032206,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:52:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,120.31446343458583,120.31446343458583,-30.314463434585832,-30.314463434585832,92.78695184850488,-3.691850067159976,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
2025-01-01 04:53:00,-1.1,0.82,102.9,0,0,0,0.0,-17.812712361092508,12.43753247303448,9.236100170605994,0.00277802876983015,-2.073260531168115,120.13978928853633,120.13978928853633,-30.139789288536335,-30.139789288536335,92.96035163905333,-3.69217678350833,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07623386344699765,0.0030487117941353933,0.008563158158319394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.057826625847976695,0.003051250685307017,20.0555555555556,21.0555555555556
