,Battery Electric Power (kW),Total Electric Power (kW)
2025-01-01 13:50:00,0.17861618997465634,-2.3988639153742417
2025-01-01 14:00:00,0.547521757671833,-2.052064826112839
2025-01-01 14:10:00,0.577480105348898,-1.9807754177526546
2025-01-01 14:20:00,0.5995865837846721,-1.901091041356113
2025-01-01 14:30:00,0.5582555231015527,-1.985554412060369
2025-01-01 14:40:00,0.500677625140785,-0.937343397133483
2025-01-01 14:50:00,0.5438099351619217,-0.9143239481359109
2025-01-01 15:00:00,0.0,-1.4743888449741909
2025-01-01 15:10:00,0.0,-1.444062620589297
2025-01-01 15:20:00,0.0,-1.482432205164564
2025-01-01 15:30:00,0.0,-1.5210048432269125
2025-01-01 15:40:00,0.0,-0.5284251602818302
2025-01-01 15:50:00,0.0,-0.4643213690395391
2025-01-01 16:00:00,0.0,-0.39385996689925257
2025-01-01 16:10:00,0.0,-0.1460099188358
2025-01-01 16:20:00,0.0,0.059256954468512424
2025-01-01 16:30:00,0.0,0.48493131096487346
2025-01-01 16:40:00,0.0,2.203429340059761
2025-01-01 16:50:00,0.0,2.4654817846978765
2025-01-01 17:00:00,-0.2034293400597611,2.859471255365136
2025-01-01 17:10:00,-0.4654817846978765,2.5957987884523117
2025-01-01 17:20:00,-1.062900595424897,1.9319412811988923
2025-01-01 17:30:00,-1.0612805731501882,2.160729225690521
2025-01-01 17:40:00,-0.9948418766237892,2.4584722174397924
2025-01-01 17:50:00,-1.222009798840709,2.1321617190978164
2025-01-01 18:00:00,-1.3375232907459502,2.154471376131662
2025-01-01 18:10:00,-0.00022517520528007564,3.359080230013506
2025-01-01 18:20:00,-6.3428647175378714e-12,3.5177565609439005
2025-01-01 18:30:00,0.0,3.3842968549623103
2025-01-01 18:40:00,0.0,3.669231996145516
2025-01-01 18:50:00,0.0,3.7151478689690034
2025-01-01 19:00:00,0.0,3.651835341224953
2025-01-01 19:10:00,0.0,3.5721880920396893
2025-01-01 19:20:00,0.0,3.562383511309307
2025-01-01 19:30:00,0.0,3.647315901132167
2025-01-01 19:40:00,0.0,3.7021675285497473
2025-01-01 19:50:00,0.0,3.666287764154178
2025-01-01 20:00:00,0.0,4.030175405901449
2025-01-01 20:10:00,0.0,3.888319595810069
2025-01-01 20:20:00,0.0,4.000876545358491
2025-01-01 20:30:00,0.0,3.953707108447172
2025-01-01 20:40:00,0.0,4.01039484121646
2025-01-01 20:50:00,0.0,4.076486611729252
2025-01-01 21:00:00,0.0,4.023689674966571
2025-01-01 21:10:00,0.0,3.8471038061665936
2025-01-01 21:20:00,0.0,3.8679682885558293
2025-01-01 21:30:00,0.0,4.115742243626638
2025-01-01 21:40:00,0.0,4.093323142179097
2025-01-01 21:50:00,0.0,3.974835529676387
2025-01-01 22:00:00,0.0,3.940810766263211
2025-01-01 22:10:00,0.0,3.810322452852767
2025-01-01 22:20:00,0.0,3.8453104497286468
2025-01-01 22:30:00,0.0,3.8524263026613865
2025-01-01 22:40:00,0.0,3.8693767049163306
2025-01-01 22:50:00,0.0,3.8772927175532326
2025-01-01 23:00:00,0.0,3.8860156580356664
2025-01-01 23:10:00,0.0,3.687167938077177
2025-01-01 23:20:00,0.0,3.7491551963247414
2025-01-01 23:30:00,0.0,3.7589225559594546
2025-01-01 23:40:00,0.0,4.064343889872206
2025-01-01 23:50:00,0.0,4.344828683548199
