Time,Ambient Dry Bulb (C),Ambient Relative Humidity (-),Ambient Pressure (kPa),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Wind Speed (m/s),Sky Temperature (C),Mains Temperature (C),Ground Temperature (C),Ambient Humidity Ratio (-),Ambient Wet Bulb (-),apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,dni_extraterrestrial,airmass,Exterior Wall Irradiance (W),"Exterior Wall Irradiance - West, poa_global (W/m^2)","Exterior Wall Irradiance - West, poa_direct (W/m^2)","Exterior Wall Irradiance - West, poa_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - West, poa_ground_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_global (W/m^2)","Exterior Wall Irradiance - South, poa_direct (W/m^2)","Exterior Wall Irradiance - South, poa_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_sky_diffuse (W/m^2)","Exterior Wall Irradiance - South, poa_ground_diffuse (W/m^2)",Roof Irradiance (W),"Roof Irradiance - North, poa_global (W/m^2)","Roof Irradiance - North, poa_direct (W/m^2)","Roof Irradiance - North, poa_diffuse (W/m^2)","Roof Irradiance - North, poa_sky_diffuse (W/m^2)","Roof Irradiance - North, poa_ground_diffuse (W/m^2)",Window Irradiance (W),"Window Irradiance - West, poa_global (W/m^2)","Window Irradiance - West, poa_direct (W/m^2)","Window Irradiance - West, poa_diffuse (W/m^2)","Window Irradiance - West, poa_sky_diffuse (W/m^2)","Window Irradiance - West, poa_ground_diffuse (W/m^2)","Window Irradiance - South, poa_global (W/m^2)","Window Irradiance - South, poa_direct (W/m^2)","Window Irradiance - South, poa_diffuse (W/m^2)","Window Irradiance - South, poa_sky_diffuse (W/m^2)","Window Irradiance - South, poa_ground_diffuse (W/m^2)",Horizontal Irradiance (W/m^2),Occupancy (Persons),MELs (kW),TV (kW),Ceiling Fan (kW),Indoor Lighting (kW),Clothes Washer (L/min),Clothes Washer (kW),Cooking Range (kW),Cooking Range (therms/hour),Water Heating (L/min),Water Heating Setpoint (C),Refrigerator (kW),Exterior Lighting (kW),HVAC Heating Setpoint (C),HVAC Cooling Setpoint (C)
2025-01-01 07:11:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,96.92516984128872,96.92516984128872,-6.925169841288714,-6.925169841288714,115.93075412408592,-3.7372371959645534,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:12:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,96.76798492307934,96.76798492307934,-6.767984923079336,-6.767984923079336,116.10006709565545,-3.7375635283751762,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:13:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,96.61102735825006,96.61102735825006,-6.611027358250054,-6.611027358250054,116.26953892306818,-3.7378898579845554,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:14:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,96.45429873511601,96.45429873511601,-6.454298735116007,-6.454298735116007,116.43917176256537,-3.738216184814519,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10268996758858662,0.011765990429750723,0.011838476163867894,0.0244630491646093,0.0,0.0,0.0,0.0,0.0,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:15:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,96.29780064593436,96.29780064593436,-6.297800645934361,-6.297800645934361,116.60896776305697,-3.7385425088796183,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1219443365114466,0.021411608025871456,0.0,0.04653184245353344,0.0,0.0,0.0,0.0,0.18542162427577633,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:16:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,96.14153468869071,96.14153468869071,-6.141534688690711,-6.141534688690711,116.77892906424728,-3.738868830158026,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1219443365114466,0.021411608025871456,0.0,0.04653184245353344,0.0,0.0,0.0,0.0,0.18542162427577633,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:17:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,95.9855023614185,95.9855023614185,-5.985502361418502,-5.985502361418502,116.94905791205258,-3.7391951489044004,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1219443365114466,0.021411608025871456,0.0,0.04653184245353344,0.0,0.0,0.0,0.0,0.18542162427577633,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:18:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,95.82970548089489,95.82970548089489,-5.829705480894882,-5.829705480894882,117.11935620185346,-3.7395214646312525,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1219443365114466,0.021411608025871456,0.0,0.04653184245353344,0.0,0.0,0.0,0.0,0.18542162427577633,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:19:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,95.67414555518116,95.67414555518116,-5.6741455551811555,-5.6741455551811555,117.28982616268547,-3.7398477775714127,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1219443365114466,0.021411608025871456,0.0,0.04653184245353344,0.0,0.0,0.0,0.0,0.18542162427577633,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
2025-01-01 07:20:00,0.0,0.64,102.9,0,0,0,2.6,-17.284607600902348,12.43753247303448,9.236100170605994,0.0023731265456026704,-2.093312780000357,95.51882420118791,95.51882420118791,-5.518824201187917,-5.518824201187917,117.46046990229149,-3.740174087746709,1413.981805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1219443365114466,0.021411608025871456,0.0,0.04653184245353344,0.0,0.0,0.0,0.0,0.18542162427577633,51.666666666666686,0.03964239414865571,0.002587956414473684,22.222222222222285,26.666666666666686
