Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-12 16:00:00,0.6106804883785731,0.2744210655645433,0.134438125,0.37609012883563675,0.1568444791666667,0.027745880376269707,0.05,0.134438125,0.0,0.0,51.53589983030845,19.16310411290243,-0.05949299062040243
2025-01-12 17:00:00,0.9580711681783158,0.34287395791027375,0.2047850292650771,0.5990847750437998,0.19374906250000004,0.11523733063451605,0.05,0.166070625,0.03871440426507711,0.0,50.96328538910545,19.166541321044384,-0.06915406314699991
2025-01-12 18:00:00,1.5034820211057844,0.43333109115708246,0.2206012792650771,0.9841071976625521,0.2122013541666667,0.25717346927656554,0.05,0.181886875,0.03871440426507711,0.0,51.406429589682226,19.23299493215168,-0.045181338101499394
2025-01-12 19:00:00,1.5990960937144323,0.4234361518271161,0.14234625,1.1320698223975036,0.16607062500000003,0.25095564631692857,0.05,0.14234625,0.0,0.0,51.54702966476035,19.23420154273683,-0.0472922562996958
2025-01-12 20:00:00,1.6846475295374423,0.4061792387396428,0.17397875,1.2265228111982636,0.20297520833333335,0.20514951000584541,0.05,0.17397875,0.0,0.0,50.60050515738074,19.12810133621232,-0.06945393898365797
2025-01-12 21:00:00,1.5424783827079982,0.37167952552728045,0.20561125,1.1008910054472314,0.23987979166666668,0.15170758559410008,0.05,0.20561125,0.0,0.0,49.678193402872935,19.25093098161668,-0.046736658071861885
2025-01-12 22:00:00,0.7274920756317678,0.27049353886942973,0.2680500292650771,0.38276988228208053,0.26755822916666666,0.027163964183020608,0.05,0.22933562500000002,0.03871440426507711,0.0,51.24154577735086,19.142467803487754,-0.06993292107643724
2025-01-12 23:00:00,0.6952478194393963,0.26192559325325926,0.245151875,0.34198986073570126,0.28601052083333334,0.017247437870361662,0.05,0.245151875,0.0,0.0,51.27409995791752,19.246998970433072,-0.04198530483517384
2025-01-13 00:00:00,0.7226800545344603,0.26114513361845765,0.26887625,0.34244353360488794,0.3136889583333334,0.016547562596238855,0.05,0.26887625,0.0,0.0,50.47512593544116,19.15752951714932,-0.06315584318522992
2025-01-13 01:00:00,0.5552688701420052,0.260364673983656,0.12653,0.3414029207584857,0.14761833333333335,0.016247616050186223,0.05,0.12653,0.0,0.0,49.684685705345366,18.0370551079976,-0.04675633901122651
