occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.893,0.575,0.0187,0.0588,0.0588,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.61,0.0301,0.117,0.117,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.633,0.0394,0.171,0.171,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.907,0.616,0.0339,0.143,0.143,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.8,0.597,0.0276,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.581,0.0221,0.0818,0.0818,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.707,0.584,0.024,0.0865,0.0865,0.0,0.0,0.0,0.0,0.122,0,0,0,0
0.6,0.609,0.0333,0.129,0.129,0.0,0.0,0.0,0.0,0.136,0,0,0,0
0.6,0.635,0.0458,0.171,0.171,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.507,0.64,0.0497,0.18,0.18,0.0,0.0,0.0,0.0,0.0537,0,0,0,0
0.307,0.589,0.0276,0.0948,0.0948,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.293,0.585,0.0262,0.0891,0.0891,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.0401,0.136,0.136,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.0426,0.137,0.137,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.637,0.0551,0.178,0.178,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0693,0.225,0.225,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0727,0.223,0.223,0.0,0.0,0.0,0.467,0.0,0,0,0,0
0.4,0.664,0.0765,0.22,0.22,0.0,0.0,0.0,0.533,0.0,0,0,0,0
0.4,0.664,0.0765,0.22,0.22,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0765,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0799,0.216,0.216,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.4,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.4,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0857,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0927,0.206,0.206,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0982,0.205,0.205,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0982,0.205,0.205,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0982,0.205,0.205,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.101,0.207,0.207,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.4,0.664,0.103,0.209,0.209,0.0,0.0,0.0,0.0,0.336,0,0,0,0
0.4,0.664,0.103,0.209,0.209,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.103,0.209,0.209,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.671,0.109,0.218,0.218,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.493,0.707,0.138,0.269,0.269,0.0,0.0,0.0,0.0,0.168,0,0,0,0
