Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-20 14:00:00,0.36806456041993113,0.12093334877725664,0.04746702702702702,0.20693217806975278,0.04802328125,0.05649510110017835,0.006614,0.05,0.04746702702702702,0.0,0.0,51.66666666666668,17.982982291977024,-0.06356234685824257
2025-01-20 15:00:00,0.3801349581591733,0.12150823196771277,0.06108174278041908,0.2148881402529438,0.04802328125,0.060609536656229486,0.006614,0.05,0.04746702702702702,0.01361471575339205,0.0,51.66666666666668,17.98568674265248,-0.0642521752374756
2025-01-20 16:00:00,2.310025301966829,0.572632323910542,0.0855592517718151,2.133452555612387,0.04802328125,0.07193546510444201,0.006614,0.05,0.04746702702702702,0.03809222474478808,0.0,51.66666666666668,17.984681329035134,-0.06204179850108371
2025-01-20 17:00:00,2.1248590343697837,0.3712668297965523,0.08942472337596631,1.9313009085665658,0.08003880208333335,0.056905323719885256,0.006614,0.05,0.0791117117117117,0.010313011664254594,0.0,51.66666666666668,18.00771965566521,-0.05917822047498434
2025-01-20 18:00:00,0.23356432183729536,0.11356572116016016,0.02373351351351351,0.1371301435520497,0.024011640625,0.01580853766024565,0.006614,0.05,0.02373351351351351,0.0,0.0,51.66666666666668,16.778517074340467,-0.03037434939915184
2025-01-20 19:00:00,0.3038251048306586,0.11200016702634488,0.09493405405405404,0.13504273804029598,0.0960465625,0.016121804290362612,0.006614,0.05,0.09493405405405404,0.0,0.0,51.66666666666668,16.451634868032233,-0.05635048330949107
2025-01-20 20:00:00,0.30293803538984027,0.11121738995943725,0.09493405405405404,0.13399903528441914,0.0960465625,0.016278437605421088,0.006614,0.05,0.09493405405405404,0.0,0.0,51.66666666666668,16.423665293847797,-0.046704957790686515
2025-01-20 21:00:00,0.503584500923372,0.12582142914265204,0.09493405405405404,0.27416844951717645,0.0960465625,0.07675548890619556,0.006614,0.05,0.09493405405405404,0.0,0.0,51.66666666666668,16.406603393136088,-0.05740615577279007
2025-01-20 22:00:00,0.43759599792573334,0.11696177872417667,0.14181598746197735,0.20462642413457496,0.12806208333333335,0.04829349045782502,0.006614,0.05,0.12657873873873873,0.015237248723238617,0.0,51.66666666666668,16.410268006013247,-0.06038760252803922
2025-01-20 23:00:00,0.32689005656474,0.10652072755799144,0.12657873873873873,0.12773681874915804,0.12806208333333335,0.014477154482248575,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.38071840844633,-0.05571550437589172
2025-01-21 00:00:00,0.32529813720615847,0.10573795049108381,0.12657873873873873,0.1266931159932812,0.12806208333333335,0.013928937879543897,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.40139074923496,-0.05217401923387612
2025-01-21 01:00:00,0.3240194844776939,0.10495517342417617,0.12657873873873873,0.12564941323740436,0.12806208333333335,0.013693987906956178,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.425832116643104,-0.04686935730166475
2025-01-21 02:00:00,0.322975781721817,0.10417239635726853,0.12657873873873873,0.1246057104815275,0.12806208333333335,0.013693987906956178,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.409272095361096,-0.04649530974454124
2025-01-21 03:00:00,0.4258258883592151,0.10338961929036089,0.22942396396396394,0.12356200772565067,0.23211252604166668,0.013537354591897699,0.006614,0.05,0.22942396396396394,0.0,0.0,51.66666666666668,17.96070180029585,-0.1128258273309377
2025-01-21 04:00:00,0.35274726372833826,0.10260684222345326,0.1582234234234234,0.12251830496977381,0.1600776041666667,0.013537354591897699,0.006614,0.05,0.1582234234234234,0.0,0.0,51.66666666666668,18.054496954761166,-0.06305878943726431
2025-01-21 05:00:00,0.3690682907751219,0.10260684222345326,0.17404576576576578,0.12251830496977381,0.17608536458333335,0.013850621222014657,0.006614,0.05,0.17404576576576578,0.0,0.0,51.66666666666668,18.073242996244574,-0.05454721507487973
2025-01-21 06:00:00,0.39829098256357903,0.11048152343560594,0.17937489435335466,0.13717494876817052,0.168081484375,0.03642054942040848,0.006614,0.05,0.1661345945945946,0.013240299758760085,0.0,51.66666666666668,18.028266782745046,-0.05683058322557504
2025-01-21 07:00:00,0.49679233986846955,0.12565030093241872,0.213756556247481,0.17294628400235101,0.1840892447916667,0.08314281107445182,0.006614,0.05,0.18195693693693693,0.031799619310544064,0.0,51.66666666666668,18.07005231989913,-0.06060175662369165
2025-01-21 08:00:00,0.5243579062429499,0.13306165454998464,0.18304898547109857,0.20324328310407694,0.1600776041666667,0.10442301897220631,0.006614,0.05,0.1582234234234234,0.024825562047675158,0.0,51.66666666666668,18.02146424846004,-0.05715350408538781
2025-01-21 09:00:00,0.5149625752997774,0.13378041586270661,0.17919643943098104,0.22228203370614902,0.12806208333333335,0.10800445826029505,0.006614,0.05,0.12657873873873873,0.052617700692242315,0.0,51.66666666666668,18.023108230701464,-0.06839312260676232
2025-01-21 10:00:00,0.47798532628286855,0.13070825091083269,0.11346214648376549,0.22615827457634963,0.0960465625,0.0991664892065189,0.006614,0.05,0.09493405405405404,0.01852809242971144,0.0,51.66666666666668,18.126617490404943,-0.04615986135555688
2025-01-21 11:00:00,0.36471014298432486,0.1193677946434414,0.07557203738457134,0.1861237262009763,0.06403104166666668,0.05794137511668193,0.006614,0.05,0.06328936936936937,0.012282668015201965,0.0,51.66666666666668,18.085881235785184,-0.04642932218174446
2025-01-21 12:00:00,0.3767252621402841,0.12093334877725664,0.09562015000127258,0.1916990833153692,0.072034921875,0.056377256949914877,0.006614,0.05,0.07120054054054054,0.024419609460732038,0.0,51.66666666666668,18.02463863749691,-0.05719881262824599
2025-01-21 13:00:00,0.2900865008365339,0.11182903881611155,0.0553781981981982,0.15009037145916265,0.056027161458333335,0.02735496791903794,0.006614,0.05,0.0553781981981982,0.0,0.0,51.66666666666668,17.937343798120626,-0.07331163061754324
2025-01-21 14:00:00,0.28331013051557286,0.1095662717205053,0.06669312567527702,0.14225428083851746,0.06403104166666668,0.020410808010388772,0.006614,0.05,0.06328936936936937,0.0034037563059076633,0.0,51.66666666666668,18.042537554760678,-0.04986288294872085
