occupants,plug_loads_other,plug_loads_tv,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.75,0.626,0.0538,0.156,0.0,0.0,0,0,0,0
0.75,0.626,0.0571,0.152,0.0,0.0,0,0,0,0
0.75,0.626,0.0583,0.151,0.0,0.157,0,0,0,0
0.75,0.626,0.0583,0.151,0.0,0.0786,0,0,0,0
0.75,0.626,0.0583,0.151,0.0,0.0,0,0,0,0
0.75,0.673,0.0932,0.221,0.0,0.0,0,0,0,0
0.75,0.69,0.106,0.246,0.0,0.0786,0,0,0,0
0.75,0.69,0.106,0.246,0.0,0.0,0,0,0,0
0.75,0.69,0.106,0.246,0.0,0.0786,0,0,0,0
0.75,0.69,0.115,0.245,0.0,0.314,0,0,0,0
0.75,0.69,0.119,0.244,0.0,0.157,0,0,0,0
0.383,0.596,0.0433,0.101,0.0,0.0,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.25,0.609,0.056,0.122,0.0,0.0,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0,0,0,0
0.25,0.633,0.0757,0.158,0.0,0.0,0,0,0,0
0.25,0.635,0.0776,0.161,0.0,0.157,0,0,0,0
0.0667,0.581,0.0323,0.0791,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.183,0.626,0.073,0.153,0.0,0.0,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.0,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.157,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.0,0,0,0,0
0.25,0.661,0.107,0.228,0.0,0.314,0,0,0,0
0.25,0.665,0.112,0.241,0.0,0.157,0,0,0,0
0.433,0.74,0.183,0.382,0.0,0.0786,0,0,0,0
0.5,0.767,0.209,0.433,0.0,0.0,0,0,0,0
0.683,0.854,0.356,0.667,0.733,0.0,0,0,0,0
0.75,0.885,0.41,0.752,0.267,0.314,0,0,0,0
0.75,0.885,0.41,0.752,0.0,0.0786,0,0,0,0
0.75,0.885,0.41,0.752,0.0,0.0,0,0,0,0
0.75,0.874,0.529,0.747,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.0,0.0,0,0,0,0
0.933,0.917,0.839,0.784,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0786,0,0,0,0
1.0,0.866,0.767,0.661,0.0,0.0786,0,0,0,0
1.0,0.841,0.706,0.611,0.0,0.0,0,0,0,0
1.0,0.798,0.679,0.503,0.0,0.0,0,0,0,0
1.0,0.783,0.669,0.464,0.0,0.0,0,0,0,0
1.0,0.729,0.509,0.362,0.0,0.0,0,0,0,0
1.0,0.709,0.451,0.326,0.0,0.0,0,0,0,0
1.0,0.681,0.323,0.297,0.0,0.0,0,0,0,0
1.0,0.67,0.276,0.286,0.0,0.0,0,0,0,0
1.0,0.67,0.276,0.286,0.0,0.0,0,0,0,0
1.0,0.67,0.276,0.286,0.0,0.0,0,0,0,0
1.0,0.649,0.164,0.185,0.0,0.194,0,0,0,0
1.0,0.641,0.124,0.149,0.0,0.0,0,0,0,0
1.0,0.641,0.124,0.149,0.0,0.0,0,0,0,0
1.0,0.641,0.124,0.149,0.0,0.0,0,0,0,0
1.0,0.634,0.0738,0.103,0.0,0.0,0,0,0,0
1.0,0.631,0.0556,0.0864,0.0,0.157,0,0,0,0
1.0,0.631,0.0556,0.0864,0.0,0.0,0,0,0,0
1.0,0.631,0.0556,0.0864,0.0,0.0,0,0,0,0
1.0,0.606,0.0321,0.0637,0.0,0.236,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0,0,0,0
1.0,0.571,0.0179,0.051,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.587,0.0215,0.0679,0.733,0.0,0,0,0,0
1.0,0.596,0.0235,0.0746,1.0,0.307,0,0,0,0
1.0,0.596,0.0235,0.0746,1.0,0.104,0,0,0,0
1.0,0.596,0.0235,0.0746,0.333,0.0,0,0,0,0
1.0,0.636,0.0395,0.168,0.0,0.0786,0,0,0,0
0.817,0.618,0.0345,0.146,0.0,0.34,0,0,0,0
0.75,0.606,0.0306,0.125,0.0,0.0,0,0,0,0
0.75,0.606,0.0306,0.125,0.0,0.123,0,0,0,0
0.75,0.617,0.0358,0.143,0.0,0.0613,0,0,0,0
0.75,0.621,0.0377,0.149,0.0,0.0786,0,0,0,0
0.567,0.621,0.0377,0.149,0.0,0.0629,0,0,0,0
0.5,0.621,0.0377,0.149,0.0,0.0786,0,0,0,0
0.5,0.671,0.0622,0.232,0.0,0.0786,0,0,0,0
0.5,0.69,0.0711,0.262,0.0,0.113,0,0,0,0
0.5,0.69,0.0711,0.262,0.0,0.0786,0,0,0,0
0.5,0.69,0.0711,0.262,0.0,0.393,0,0,0,0
0.5,0.69,0.0796,0.267,0.0,0.165,0,0,0,0
0.5,0.69,0.0827,0.269,0.0,0.157,0,0,0,0
0.5,0.69,0.0827,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0827,0.269,0.0,0.0,0,0,0,0
0.5,0.69,0.0893,0.264,0.0,0.0,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0786,0,0,0,0
0.5,0.69,0.0917,0.262,0.0,0.0,0,0,0,0
0.5,0.69,0.0983,0.256,0.0,0.0786,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.314,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.0,0,0,0,0
0.5,0.69,0.101,0.253,0.0,0.0786,0,0,0,0
0.683,0.737,0.137,0.32,0.0,0.215,0,0,0,0
0.75,0.754,0.151,0.345,0.733,0.0586,0,0,0,0
0.567,0.707,0.118,0.273,1.0,0.0,0,0,0,0
0.5,0.69,0.106,0.246,1.0,0.0786,0,0,0,0
0.317,0.643,0.0776,0.173,1.0,0.0,0,0,0,0
0.25,0.626,0.0673,0.147,0.4,0.0,0,0,0,0
0.25,0.626,0.0673,0.147,0.0,0.0,0,0,0,0
0.25,0.626,0.0673,0.147,0.0,0.0,0,0,0,0
0.25,0.626,0.0697,0.148,0.0,0.0786,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.236,0,0,0,0
0.25,0.633,0.0757,0.158,0.0,0.0,0,0,0,0
0.617,0.743,0.168,0.324,0.0,0.236,0,0,0,0
0.75,0.783,0.201,0.384,0.0,0.0786,0,0,0,0
0.75,0.783,0.201,0.384,0.0,0.0,0,0,0,0
0.75,0.815,0.237,0.45,0.0,0.0786,0,0,0,0
0.75,0.827,0.249,0.475,0.0,0.236,0,0,0,0
0.75,0.827,0.249,0.475,0.0,0.0,0,0,0,0
0.75,0.827,0.249,0.475,0.0,0.0,0,0,0,0
0.75,0.859,0.291,0.585,0.0,0.0,0,0,0,0
0.75,0.87,0.306,0.625,0.0,0.0786,0,0,0,0
0.75,0.87,0.306,0.625,0.0,0.157,0,0,0,0
0.75,0.87,0.306,0.625,0.0,0.0,0,0,0,0
0.75,0.881,0.382,0.718,0.0,0.0,0,0,0,0
0.75,0.885,0.41,0.752,0.0,0.0,0,0,0,0
0.567,0.806,0.314,0.58,0.0,0.0,0,0,0,0
0.5,0.777,0.279,0.518,0.0,0.0,0,0,0,0
0.5,0.77,0.358,0.514,0.0,0.0,0,0,0,0
0.5,0.767,0.387,0.513,0.0,0.0,0,0,0,0
0.5,0.767,0.387,0.513,0.0,0.0,0,0,0,0
0.5,0.767,0.387,0.513,0.0,0.0,0,0,0,0
0.683,0.822,0.621,0.585,0.0,0.0,0,0,0,0
0.75,0.841,0.706,0.611,0.0,0.0,0,0,0,0
0.75,0.841,0.706,0.611,0.0,0.157,0,0,0,0
0.933,0.91,0.874,0.748,0.0,0.0,0,0,0,0
1.0,0.877,0.9,0.654,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0,0,0,0
1.0,0.799,0.63,0.544,0.0,0.114,0,0,0,0
1.0,0.739,0.441,0.436,0.0,0.0,0,0,0,0
1.0,0.645,0.215,0.231,0.0,0.0943,0,0,0,0
1.0,0.616,0.146,0.168,0.0,0.0,0,0,0,0
1.0,0.576,0.0505,0.0809,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.587,0.0182,0.0504,0.0,0.116,0,0,0,0
1.0,0.596,0.019,0.0507,0.0,0.0786,0,0,0,0
1.0,0.596,0.019,0.0507,0.0,0.314,0,0,0,0
1.0,0.596,0.019,0.0507,0.0,0.309,0,0,0,0
1.0,0.596,0.0223,0.0683,0.0,0.209,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.0786,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.236,0,0,0,0
1.0,0.636,0.0395,0.168,0.0,0.218,0,0,0,0
1.0,0.651,0.0453,0.201,0.0,0.0794,0,0,0,0
0.817,0.618,0.0345,0.146,0.0,0.0786,0,0,0,0
0.75,0.606,0.0306,0.125,0.0,0.0786,0,0,0,0
0.75,0.66,0.0518,0.215,0.0,0.355,0,0,0,0
0.75,0.68,0.0595,0.248,0.0,0.0,0,0,0,0
0.75,0.68,0.0595,0.248,0.0,0.418,0,0,0,0
0.75,0.68,0.0595,0.248,0.733,0.312,0,0,0,0
