occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0634,0.316,0.148,0.0,0.0,1.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,1.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.35,0.651,0.0905,0.274,0.188,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.5,0.69,0.125,0.211,0.249,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.5,0.69,0.125,0.211,0.249,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.5,0.69,0.125,0.211,0.249,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.5,0.697,0.131,0.211,0.258,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.0,0.0,1.0,0.0633,0,0,0,0,0,0
0.6,0.756,0.183,0.168,0.353,0.0,0.0,1.0,0.127,0,0,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.0,0.0,0.6,0.0,0,0,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.65,0.791,0.218,0.147,0.418,0.0,0.0,0.0,0.0633,0,0.467,0,0,0,0
0.5,0.75,0.187,0.211,0.373,0.303,0.4,0.0,0.0,0,1.0,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.432,1.0,0.0,0.0,0,1.0,0,0,0,0
0.6,0.809,0.248,0.168,0.51,0.363,1.0,0.0,0.0633,0,0.6,0,0,0,0
0.75,0.87,0.306,0.105,0.625,0.573,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.833,0.295,0.147,0.582,0.38,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.777,0.279,0.211,0.518,0.321,1.0,0.0,0.0633,1.0,0,0,0,0,0
0.75,0.777,0.279,0.211,0.518,0.256,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.777,0.279,0.211,0.518,0.494,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.773,0.322,0.211,0.516,0.455,0.133,0.0,0.0633,1.0,0,0,0,0,0
0.75,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.797,0.514,0.168,0.552,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.841,0.706,0.105,0.611,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.841,0.706,0.105,0.611,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.841,0.706,0.105,0.611,0.5,0.4,0.0,0.0,1.0,0,0,0,0,0
0.75,0.759,0.517,0.189,0.442,0.346,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.635,0.234,0.316,0.187,0.278,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.606,0.146,0.358,0.132,0.299,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.133,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.85,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.9,0.575,0.0189,0.379,0.0595,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.65,0.582,0.0204,0.358,0.0645,0.0,0.0,0.0,0.0,0,0.4,0,0,0,0
0.5,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.5,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.4,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0.0667,0,0,0,0
0.25,0.579,0.0218,0.379,0.0797,0.0,0.0,0.0,0.112,0,0,0,0,0,0
0.25,0.606,0.0306,0.316,0.125,0.0,0.0,0.0,0.0561,0,0,0,0,0,0
0.25,0.612,0.0334,0.316,0.135,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.621,0.0377,0.316,0.149,0.0,0.0,0.0,0.173,0,0,0,0,0,0
0.25,0.621,0.0377,0.316,0.149,0.0,0.0,0.0,0.1,0,0,0,0,0,0
0.25,0.621,0.0377,0.316,0.149,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.623,0.04,0.316,0.152,0.0,0.0,0.0,0.112,0,0,0,0,0,0
0.25,0.626,0.0435,0.316,0.156,0.0,0.0,0.0,0.175,0,0,0,0,0,0
0.25,0.626,0.0435,0.316,0.156,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0435,0.316,0.156,0.0,0.0,0.0,0.16,0,0,0,0,0,0
0.25,0.626,0.0458,0.316,0.157,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0511,0.316,0.158,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0556,0.316,0.154,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0593,0.316,0.15,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0634,0.316,0.148,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0686,0.316,0.148,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.629,0.0734,0.316,0.154,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.635,0.0776,0.316,0.161,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.35,0.665,0.102,0.274,0.206,0.355,0.4,0.0,0.0,0,0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.269,1.0,0.0,0.0633,0,0.8,0,0,0,0
0.5,0.721,0.152,0.211,0.297,0.295,1.0,0.0,0.0,0,1.0,0,0,0,0
0.5,0.738,0.172,0.211,0.333,0.449,1.0,0.0,0.0,0,1.0,0,0,0,0
0.6,0.774,0.203,0.168,0.389,0.239,1.0,0.0,0.0,0,0.6,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.406,1.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.844,0.272,0.105,0.535,0.573,1.0,0.0,0.0633,1.0,0,0,0,0,0
0.75,0.87,0.306,0.105,0.625,0.543,1.0,0.0,0.107,1.0,0,0,0,0,0
0.85,0.912,0.344,0.0632,0.702,0.423,0.133,0.4,0.0537,1.0,0,0,0,0,0
1.0,0.973,0.402,0.0,0.817,0.308,0.0,1.0,0.0,1.0,0,0,0,0,0
1.0,0.981,0.458,0.0,0.885,0.278,0.0,0.667,0.167,1.0,0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.415,0.0,0.0,0.0173,1.0,0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.231,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.479,0.0,0.0,0.171,1.0,0,0,0,0,0
1.0,0.985,0.628,0.0,0.983,0.368,0.0,0.0,0.0539,1.0,0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.363,0.0,0.0,0.19,1.0,0,0,0,0,0
0.8,0.891,0.609,0.0842,0.792,0.299,0.0,0.0,0.197,0,0.4,0,0,0,0
0.5,0.767,0.387,0.211,0.513,0.0,0.0,0.0,0.0,0,0.133,0,0,0,0
0.5,0.76,0.422,0.211,0.477,0.0,0.0,0.0,0.11,0,0,0,0,0,0
0.5,0.748,0.476,0.211,0.424,0.0,0.0,0.0,0.0551,0,0,0,0,0,0
0.5,0.748,0.476,0.211,0.424,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.6,0.785,0.568,0.168,0.499,0.0,0.0,0.0,0.19,0,0,0,0,0,0
0.75,0.818,0.691,0.105,0.552,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.85,0.812,0.756,0.0632,0.519,0.0,0.0,0.0,0.222,0,0.533,0,0,0,0
1.0,0.798,0.712,0.0842,0.491,0.0,0.0,0.0,0.0761,1.0,0,0,0,0,0
1.0,0.709,0.451,0.211,0.326,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.693,0.381,0.211,0.31,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.111,1.0,0,0,0,0,0
1.0,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0922,1.0,0,0,0,0,0
1.0,0.658,0.215,0.211,0.231,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.641,0.124,0.211,0.149,0.0,0.0,0.0,0.0798,1.0,0,0,0,0,0
1.0,0.609,0.0807,0.295,0.109,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.575,0.0161,0.379,0.0493,0.0,0.0,0.0,0.164,1.0,0,0,0,0,0
1.0,0.596,0.0164,0.316,0.0493,0.0,0.0,0.0,0.127,1.0,0,0,0,0,0
1.0,0.596,0.0164,0.316,0.0493,0.0,0.0,0.0,0.0633,1.0,0,0,0,0,0
1.0,0.596,0.0164,0.316,0.0493,0.0,0.0,0.0,0.127,1.0,0,0,0,0,0
0.9,0.582,0.0162,0.358,0.0493,0.0,0.0,0.0,0.0,0,0.4,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.75,0.575,0.0189,0.379,0.0595,0.0,0.0,0.0,0.238,0,0.733,0,0,0,0
0.75,0.596,0.0235,0.316,0.0746,0.0,0.0,0.0,0.145,0,0,0,0,0,0
0.65,0.582,0.0204,0.358,0.0645,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.575,0.0189,0.379,0.0595,0.0,0.0,0.0,0.265,0,0,0,0,0,0
0.5,0.6,0.0263,0.316,0.0949,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.5,0.606,0.0306,0.316,0.125,0.0,0.0,0.0,0.112,0,0,0,0,0,0
0.5,0.606,0.0306,0.316,0.125,0.0,0.0,0.0,0.0745,0,0,0,0,0,0
0.5,0.606,0.0306,0.316,0.125,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.5,0.612,0.0334,0.316,0.135,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.5,0.621,0.0377,0.316,0.149,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.4,0.597,0.029,0.358,0.109,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.587,0.031,0.379,0.0919,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.253,0,0,0,0,0,0
0.15,0.6,0.0386,0.358,0.113,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.1,0.587,0.0364,0.379,0.0884,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0673,0.316,0.147,0.0,0.0,0.0,0.0633,0,0,0,0,0,0
0.15,0.6,0.0467,0.358,0.108,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.1,0.587,0.0377,0.379,0.0892,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.443,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.127,0,0,0,0,0,0
0.25,0.629,0.0734,0.316,0.154,0.0,0.0,0.0,0.113,0,0,0,0,0,0
0.25,0.635,0.0776,0.316,0.161,0.0,0.0,0.0,0.164,0,0,0,0,0,0
0.15,0.606,0.0529,0.358,0.116,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.1,0.597,0.047,0.379,0.106,0.0,0.0,0.0,0.113,0,0,0,0,0,0
0.25,0.65,0.0937,0.316,0.191,0.0,0.0,0.0,0.139,0,0,0,0,0,0
0.25,0.65,0.0937,0.316,0.191,0.0,0.0,0.0,0.0,0,0.533,0,0,0,0
0.35,0.685,0.125,0.274,0.248,0.0,0.0,0.0,0.114,0,1.0,0,0,0,0
0.5,0.75,0.187,0.211,0.373,0.0,0.0,0.0,0.203,0,1.0,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.0,0.0,0.0,0.0633,0,1.0,0,0,0,0
0.6,0.809,0.248,0.168,0.51,0.0,0.0,0.4,0.245,0,0.6,0,0,0,0
0.75,0.87,0.306,0.105,0.625,0.0,0.0,1.0,0.19,1.0,0,0,0,0,0
0.75,0.876,0.347,0.105,0.676,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.0,0.0,0.733,0.0633,1.0,0,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.879,0.475,0.105,0.749,0.316,0.4,0.0,0.0,1.0,0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.406,1.0,0.0,0.0633,1.0,0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.496,1.0,0.0,0.0633,1.0,0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.688,1.0,0.0,0.127,1.0,0,0,0,0,0
0.75,0.859,0.626,0.105,0.692,0.402,1.0,0.0,0.127,1.0,0,0,0,0,0
0.75,0.841,0.706,0.105,0.611,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
