Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-05 19:00:00,6.7623355191085,0.15350265661924734,0.0,0.28647599563115,4.9963935306666665,0.4711206434032759,1.0083453494074075,0.0,51.56996032541969,19.183722762947703,-0.054867127185492075
2025-01-05 20:00:00,6.798462198289955,0.15016584381036374,0.0,0.29504146887775395,6.106703204148148,0.3967175252640531,0.0,0.0,51.511368658471994,19.109582449236644,-0.06585132209577746
2025-01-05 21:00:00,6.620552459391622,0.16109982946603696,0.0,0.3955161925644128,4.718816112296296,0.5895425641605421,0.9166775903703706,0.0,51.171645540212005,19.16064345823572,-0.052924038101827324
2025-01-05 22:00:00,7.095062357456107,0.19361869904827161,0.0,0.6127906631696517,6.106703204148148,0.3755684901383079,0.0,0.0,51.425797491684776,19.151114017182532,-0.06354671878731934
2025-01-05 23:00:00,6.090945997097255,0.13363415973568252,0.0,0.2020661693947789,4.718816112296296,0.16171836599877257,1.0083453494074075,0.0,50.999014793418404,19.121897281462285,-0.06297487080707978
2025-01-06 00:00:00,6.685521711140565,0.1317976998216056,0.0,0.1894513279430006,6.384280622518518,0.11178976067904528,0.0,0.0,51.702611856485,19.202052180683378,-0.05126346335372176
2025-01-06 01:00:00,5.270934410613663,0.1306241865354666,0.0,0.18287417989721838,4.9963935306666665,0.09166670004977794,0.0,0.0,51.33793293333381,19.186103810876034,-0.056652812032784834
2025-01-06 02:00:00,3.0382543344877084,0.12945067324932755,0.0,0.179056117933694,2.7757741837037035,0.08342403285031072,0.0,0.0,51.068945100865356,17.70701831496095,-0.04502578391324376
2025-01-06 03:00:00,5.70414248074882,0.12698615863509902,0.0,0.17491485613145313,4.1636612755555555,0.08221772254329318,1.2833486265185186,0.0,51.30013421507317,17.487113031853145,-0.05505048397275931
2025-01-06 04:00:00,4.412174682201109,0.12068353196438825,0.0,0.16629568410226067,4.1636612755555555,0.08221772254329318,0.0,0.0,51.681976155172514,17.502963187473142,-0.05460620120839597
2025-01-06 05:00:00,4.845657396978131,0.1255335099266704,0.0,0.5513493843133349,4.1636612755555555,0.13064673710924105,0.0,0.0,51.43551372602383,17.492538198819677,-0.055053196486618404
2025-01-06 06:00:00,4.609191962205032,0.13402151578932006,0.0,0.19123395043612845,4.1636612755555555,0.2542967362133481,0.0,0.0,51.0476975618494,17.49780876526191,-0.0536250346152551
2025-01-06 07:00:00,7.434106516924942,0.4338508983344609,0.0,1.623928919629366,4.1636612755555555,0.4548354542585392,1.1916808674814816,0.0,50.84435440625903,17.47179266593104,-0.05600160790733947
2025-01-06 08:00:00,4.124537256173928,0.24490478422121306,0.0,0.898409796213039,2.7757741837037035,0.4503532762571859,0.0,0.0,51.33090919701953,17.519463014311103,-0.048598585701504264
2025-01-06 09:00:00,5.81819379634758,0.2806858300589121,0.0,0.3552646493821257,4.1636612755555555,0.3825902810395276,0.9166775903703706,0.0,51.09173532428342,17.521100472314675,-0.050078902743784445
2025-01-06 10:00:00,5.4826410759403865,0.4963055670822486,0.0,2.282736806233087,2.7757741837037035,0.42413008600359553,0.0,0.0,51.83146836990904,17.476765169483876,-0.06426336881574966
2025-01-06 11:00:00,7.891523061509182,0.14910409600356206,0.0,0.2643244596795682,7.21701287762963,0.41018572419998556,0.0,0.0,51.414773421181096,18.945328280105095,-0.17803598138844096
2025-01-06 12:00:00,6.310377281909669,0.1514511225758401,0.0,0.27370081579866096,4.718816112296296,0.40118276344434084,0.9166775903703706,0.0,51.63898724052958,19.177365144140627,-0.05114858709449575
2025-01-06 13:00:00,4.851707963278029,0.1514511225758401,0.0,0.28567420823110035,4.1636612755555555,0.40237247949137334,0.0,0.0,51.435273593504,19.14104808488249,-0.06061654468436757
2025-01-06 14:00:00,5.608296269449817,0.15218385305935034,0.0,0.29758341008221095,3.8860838571851852,0.41628365277501334,1.0083453494074075,0.0,51.29071047060127,19.11005101839341,-0.06592104384117725
2025-01-06 15:00:00,3.8341260907393933,0.15498801954083843,0.0,0.3097259840960314,3.053351602074074,0.4710485045692873,0.0,0.0,51.2712217253104,19.17901164258701,-0.051297083418320295
2025-01-06 16:00:00,5.3828430418683375,0.20041613706254058,0.0,0.5716540272376337,4.1636612755555555,0.647527739075148,0.0,0.0,51.047925181129784,19.201694383213354,-0.04656930702802757
