occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.627,0.0217,0.0519,0.0519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0221,0.0521,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0221,0.0521,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0221,0.0521,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.176,1.0,0,0,0,0,0
1.0,0.631,0.0305,0.0967,0.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.0999,0.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.0999,0.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.0999,0.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.649,0.0444,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.651,0.0453,0.201,0.201,0.0,0.0,0.0732,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.651,0.0453,0.201,0.201,0.0,0.0,0.175,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.651,0.0453,0.201,0.201,0.0,0.0,0.0382,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.788,0.0992,0.431,0.431,0.0,0.0,0.366,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.798,0.103,0.447,0.447,0.0,0.0,0.338,0.0,1.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.798,0.103,0.447,0.447,0.0,0.0,0.366,0.0,0.333,0.0,0.0,1.0,0,0,0,0,0
1.0,0.798,0.103,0.447,0.447,0.0,0.0,0.771,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.816,0.125,0.473,0.473,0.0,0.0,0.201,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.126,0.475,0.475,0.0,0.0,0.118,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.126,0.475,0.475,0.0,0.0,0.688,0.0,0.0,0.0,0.352,1.0,0,0,0,0,0
1.0,0.818,0.126,0.475,0.475,0.0,0.0,0.102,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.148,0.488,0.488,0.0,0.0,0.201,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.149,0.489,0.489,0.0,0.0,0.248,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.149,0.489,0.489,0.0,0.0,0.274,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.818,0.149,0.489,0.489,0.0,0.0,0.611,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.166,0.476,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.168,0.475,0.475,0.0,0.0,0.00955,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.168,0.475,0.475,0.0,0.0,0.385,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.168,0.475,0.475,0.0,0.0,0.166,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.184,0.458,0.458,0.0,0.0,0.608,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.186,0.457,0.457,0.0,0.0,0.22,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.186,0.457,0.457,0.0,0.0,0.624,0.0,0.0,0.0,0.264,1.0,0,0,0,0,0
1.0,0.818,0.186,0.457,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.195,0.444,0.444,0.0,0.0,0.468,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.196,0.444,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.196,0.444,0.444,0.0,0.0,0.318,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.196,0.444,0.444,0.0,0.0,0.503,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.22,0.44,0.44,0.0,0.0,0.166,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.818,0.222,0.44,0.44,0.0,0.0,0.0924,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.818,0.222,0.44,0.44,0.0,0.0,0.42,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.222,0.44,0.44,0.0,0.0,0.239,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.234,0.447,0.447,0.0,0.0,0.586,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.235,0.448,0.448,0.0,0.0,0.561,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.235,0.448,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.235,0.448,0.448,0.0,0.0,0.0732,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.854,0.261,0.492,0.492,0.0,0.0,0.185,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.857,0.263,0.496,0.496,0.0,0.0,0.0732,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.857,0.263,0.496,0.496,0.0,0.0,0.274,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
