occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.667,0.797,0.224,0.14,0.427,0.427,0.0,0.427,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.427,0.0,0.171,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.427,0.0,0.0,0,0,0,0
0.667,0.831,0.267,0.14,0.543,0.543,0.867,0.0855,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.561,1.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.561,1.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.561,1.0,0.0855,0,0,0,0
0.667,0.847,0.354,0.14,0.659,0.659,0.267,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.674,0.0,0.171,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.674,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.674,0.0,0.0855,0,0,0,0
0.667,0.838,0.491,0.14,0.669,0.669,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0855,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0,0,0,0,0
0.667,0.814,0.613,0.14,0.565,0.565,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.68,0.349,0.262,0.276,0.276,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.234,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.234,0.0,0.0,0,0,0,0
0.956,0.745,0.558,0.159,0.393,0.393,0.0,0.0,0,0,0,0
1.0,0.713,0.394,0.14,0.372,0.372,0.0,0.0,0,0,0,0
1.0,0.706,0.363,0.14,0.365,0.365,0.0,0.0,0,0,0,0
1.0,0.706,0.363,0.14,0.365,0.365,0.0,0.0,0,0,0,0
1.0,0.706,0.363,0.14,0.365,0.365,0.0,0.0,0,0,0,0
1.0,0.673,0.187,0.14,0.206,0.206,0.0,0.0,0,0,0,0
1.0,0.667,0.16,0.14,0.182,0.182,0.0,0.0,0,0,0,0
1.0,0.667,0.16,0.14,0.182,0.182,0.0,0.0,0,0,0,0
1.0,0.622,0.0975,0.262,0.125,0.125,0.0,0.0,0,0,0,0
1.0,0.569,0.0255,0.402,0.0582,0.0582,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.665,0.0499,0.178,0.225,0.225,0.867,0.142,0,0,0,0
1.0,0.68,0.0551,0.14,0.252,0.252,1.0,0.427,0,0,0,0
1.0,0.68,0.0551,0.14,0.252,0.252,0.2,0.0,0,0,0,0
0.711,0.629,0.0381,0.262,0.164,0.164,0.0,0.0,0,0,0,0
0.667,0.638,0.0437,0.281,0.178,0.178,0.0,0.0,0,0,0,0
0.667,0.64,0.0449,0.281,0.182,0.182,0.0,0.0855,0,0,0,0
0.667,0.64,0.0449,0.281,0.182,0.182,0.0,0.0,0,0,0,0
0.667,0.64,0.0449,0.281,0.182,0.182,0.0,0.0,0,0,0,0
0.667,0.646,0.0516,0.281,0.19,0.19,0.0,0.0,0,0,0,0
0.667,0.647,0.0527,0.281,0.191,0.191,0.0,0.256,0,0,0,0
0.667,0.647,0.0527,0.281,0.191,0.191,0.0,0.171,0,0,0,0
0.667,0.647,0.0527,0.281,0.191,0.191,0.0,0.0,0,0,0,0
0.667,0.647,0.0594,0.281,0.195,0.195,0.0,0.0,0,0,0,0
0.667,0.647,0.0604,0.281,0.196,0.196,0.0,0.0855,0,0,0,0
0.667,0.647,0.0604,0.281,0.196,0.196,0.0,0.0,0,0,0,0
0.667,0.647,0.0604,0.281,0.196,0.196,0.0,0.171,0,0,0,0
0.667,0.647,0.0656,0.281,0.192,0.192,0.0,0.0,0,0,0,0
0.667,0.647,0.0664,0.281,0.191,0.191,0.0,0.0,0,0,0,0
0.667,0.647,0.0664,0.281,0.191,0.191,0.0,0.0,0,0,0,0
0.667,0.647,0.0664,0.281,0.191,0.191,0.0,0.0,0,0,0,0
0.667,0.647,0.0716,0.281,0.186,0.186,0.0,0.0,0,0,0,0
0.667,0.647,0.0724,0.281,0.185,0.185,0.0,0.0855,0,0,0,0
0.667,0.647,0.0724,0.281,0.185,0.185,0.0,0.0,0,0,0,0
0.667,0.647,0.0724,0.281,0.185,0.185,0.0,0.171,0,0,0,0
0.667,0.647,0.0754,0.281,0.181,0.181,0.0,0.171,0,0,0,0
0.667,0.721,0.128,0.159,0.295,0.295,0.0,0.171,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.312,0.0,0.0855,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.312,0.0,0.171,0,0,0,0
0.667,0.732,0.151,0.14,0.31,0.31,0.0,0.0,0,0,0,0
0.667,0.658,0.0936,0.262,0.197,0.197,0.0,0.342,0,0,0,0
0.667,0.647,0.0845,0.281,0.179,0.179,0.0,0.0,0,0,0,0
0.667,0.647,0.0845,0.281,0.179,0.179,0.0,0.171,0,0,0,0
0.0889,0.573,0.025,0.402,0.0667,0.0667,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.289,0.664,0.106,0.299,0.213,0.213,0.0,0.0,0,0,0,0
0.333,0.679,0.12,0.281,0.238,0.238,0.0,0.0,0,0,0,0
0.333,0.679,0.12,0.281,0.238,0.238,0.0,0.0855,0,0,0,0
0.333,0.696,0.141,0.281,0.296,0.296,0.0,0.0855,0,0,0,0
0.333,0.699,0.145,0.281,0.305,0.305,0.0,0.0,0,0,0,0
0.333,0.699,0.145,0.281,0.305,0.305,0.0,0.0855,0,0,0,0
0.333,0.699,0.145,0.281,0.305,0.305,0.0,0.0,0,0,0,0
0.333,0.704,0.185,0.281,0.354,0.354,0.0,0.0855,0,0,0,0
0.622,0.83,0.343,0.159,0.632,0.632,0.0,0.0,0,0,0,0
0.956,0.974,0.518,0.0187,0.945,0.945,0.0,0.13,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.0,0.0,0,0,0,0
0.711,0.857,0.515,0.122,0.71,0.71,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0855,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0,0,0,0,0
0.667,0.814,0.613,0.14,0.565,0.565,0.0,0.0855,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.595,0.0976,0.384,0.116,0.116,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.956,0.624,0.166,0.299,0.186,0.186,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.207,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.207,0.0,0.0,0,0,0,0
1.0,0.617,0.101,0.281,0.128,0.128,0.0,0.0,0,0,0,0
1.0,0.569,0.0255,0.402,0.0582,0.0582,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.613,0.0329,0.299,0.137,0.137,0.0,0.404,0,0,0,0
1.0,0.672,0.0525,0.159,0.239,0.239,0.0,0.159,0,0,0,0
1.0,0.68,0.0551,0.14,0.252,0.252,0.0,0.0,0,0,0,0
1.0,0.68,0.0551,0.14,0.252,0.252,0.0,0.0,0,0,0,0
0.711,0.646,0.0463,0.262,0.191,0.191,0.0,0.126,0,0,0,0
0.667,0.64,0.0449,0.281,0.182,0.182,0.0,0.0,0,0,0,0
0.378,0.64,0.0449,0.281,0.182,0.182,0.0,0.0,0,0,0,0
0.622,0.709,0.0701,0.159,0.297,0.297,0.0,0.171,0,0,0,0
0.667,0.731,0.0874,0.14,0.331,0.331,0.0,0.0,0,0,0,0
0.667,0.732,0.0895,0.14,0.333,0.333,0.0,0.151,0,0,0,0
0.667,0.732,0.0895,0.14,0.333,0.333,0.0,0.0504,0,0,0,0
0.667,0.732,0.0895,0.14,0.333,0.333,0.0,0.171,0,0,0,0
0.667,0.732,0.103,0.14,0.341,0.341,0.0,0.0,0,0,0,0
0.667,0.732,0.105,0.14,0.342,0.342,0.0,0.0855,0,0,0,0
0.667,0.732,0.105,0.14,0.342,0.342,0.0,0.0,0,0,0,0
0.667,0.732,0.105,0.14,0.342,0.342,0.0,0.256,0,0,0,0
0.667,0.732,0.115,0.14,0.334,0.334,0.0,0.0,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.333,0.0,0.0,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.333,0.0,0.0855,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.333,0.0,0.0,0,0,0,0
0.667,0.732,0.127,0.14,0.323,0.323,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.321,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.321,0.0,0.0,0,0,0,0
0.378,0.658,0.08,0.262,0.203,0.203,0.0,0.0,0,0,0,0
0.333,0.647,0.0754,0.281,0.181,0.181,0.0,0.419,0,0,0,0
0.333,0.647,0.0759,0.281,0.181,0.181,0.0,0.727,0,0,0,0
0.622,0.721,0.128,0.159,0.295,0.295,0.0,0.222,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.312,0.0,0.0855,0,0,0,0
0.667,0.732,0.151,0.14,0.31,0.31,0.0,0.0,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.31,0.0,0.106,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.31,0.0,0.0855,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.31,0.0,0.273,0,0,0,0
0.0889,0.584,0.0342,0.384,0.084,0.084,0.0,0.0234,0,0,0,0
0.289,0.636,0.079,0.299,0.164,0.164,0.867,0.0855,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.182,1.0,0.0855,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.182,0.2,0.171,0,0,0,0
0.333,0.658,0.0969,0.281,0.196,0.196,0.0,0.0855,0,0,0,0
0.333,0.66,0.0982,0.281,0.198,0.198,0.0,0.0,0,0,0,0
0.333,0.66,0.0982,0.281,0.198,0.198,0.0,0.0,0,0,0,0
0.622,0.745,0.17,0.159,0.327,0.327,0.0,0.197,0,0,0,0
0.667,0.792,0.218,0.14,0.417,0.417,0.0,0.0855,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.427,0.0,0.0855,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.427,0.0,0.0,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.427,0.0,0.0,0,0,0,0
0.667,0.831,0.267,0.14,0.543,0.543,0.0,0.258,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.561,0.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.561,0.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.561,0.0,0.0,0,0,0,0
0.667,0.847,0.354,0.14,0.659,0.659,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.674,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.674,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.674,0.0,0.0855,0,0,0,0
0.667,0.838,0.491,0.14,0.669,0.669,0.0,0.0,0,0,0,0
0.956,0.955,0.725,0.0187,0.936,0.936,0.0,0.241,0,0,0,0
0.711,0.854,0.543,0.122,0.709,0.709,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.668,0.0,0.0,0,0,0,0
0.667,0.814,0.613,0.14,0.565,0.565,0.0,0.171,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.0,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.549,0.0,0.183,0,0,0,0
0.667,0.68,0.349,0.262,0.276,0.276,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.234,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.234,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.234,0.0,0.0,0,0,0,0
0.667,0.575,0.0546,0.402,0.0739,0.0739,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.956,0.602,0.0247,0.299,0.0565,0.0565,0.0,0.116,0,0,0,0
1.0,0.608,0.026,0.281,0.0576,0.0576,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.281,0.0576,0.0576,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.281,0.0576,0.0576,0.0,0.11,0,0,0,0
0.711,0.568,0.0172,0.402,0.0504,0.0504,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.956,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.711,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.667,0.613,0.0329,0.299,0.137,0.137,0.0,0.344,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0.151,0.0,0.309,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0.151,0.0,0.0855,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0.151,0.0,0.0,0,0,0,0
0.378,0.569,0.0185,0.402,0.0629,0.0629,0.0,0.0,0,0,0,0
0.911,0.698,0.0663,0.178,0.279,0.279,0.0,0.233,0,0,0,0
1.0,0.719,0.074,0.14,0.315,0.315,0.0,0.0855,0,0,0,0
1.0,0.719,0.074,0.14,0.315,0.315,0.0,0.0,0,0,0,0
1.0,0.731,0.0874,0.14,0.331,0.331,0.0,0.233,0,0,0,0
1.0,0.732,0.0895,0.14,0.333,0.333,0.0,0.0855,0,0,0,0
1.0,0.732,0.0895,0.14,0.333,0.333,0.0,0.0,0,0,0,0
1.0,0.732,0.0895,0.14,0.333,0.333,0.0,0.395,0,0,0,0
0.422,0.584,0.0257,0.384,0.0872,0.0872,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0,0,0,0
0.333,0.636,0.0649,0.299,0.167,0.167,0.0,0.116,0,0,0,0
0.333,0.647,0.0724,0.281,0.185,0.185,0.0,0.0,0,0,0,0
