occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.75,0.748,0.476,0.211,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.748,0.476,0.211,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.738,0.469,0.211,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.709,0.451,0.211,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.077,1.0,0,0,0,0,0
0.75,0.709,0.451,0.211,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.709,0.451,0.211,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.699,0.404,0.211,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,1.0,0,0,0,0,0
0.75,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0744,1.0,0,0,0,0,0
0.75,0.662,0.235,0.211,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.62,0.0951,0.267,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.817,0.571,0.0212,0.393,0.0543,0.0,0.0,0.0,0.0,0.0,0.0,0.115,1.0,0,0,0,0,0
1.0,0.596,0.0357,0.316,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.315,1.0,0,0,0,0,0
1.0,0.596,0.0357,0.316,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.587,0.0304,0.344,0.0629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.933,0.571,0.0167,0.393,0.0497,0.0,0.0,0.0,0.0,0.0,0.0,0.0985,0,0.267,0,0,0,0
0.75,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0,0.2,0,0,0,0
0.75,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.75,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0635,0,0,0,0,0,0
0.817,0.606,0.0222,0.288,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.467,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0.0,0.0,0.0,0.267,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0999,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0,0,0,0,0
1.0,0.64,0.0332,0.182,0.107,0.0,0.0,0.0,0.0,0.0,1.0,0.127,1.0,0,0,0,0,0
1.0,0.674,0.0444,0.105,0.166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0
1.0,0.695,0.06,0.105,0.277,0.0,0.0,0.0,0.0,0.0,0.867,0.26,1.0,0,0,0,0,0
1.0,0.707,0.0639,0.0772,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.361,1.0,0,0,0,0,0
1.0,0.74,0.0747,0.0,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
1.0,0.755,0.0823,0.0,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.207,1.0,0,0,0,0,0
1.0,0.798,0.103,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.107,1.0,0,0,0,0,0
1.0,0.798,0.103,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.933,0.782,0.0973,0.0281,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.743,0.0859,0.105,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
