occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.668,0.266,0.211,0.277,0.277,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.641,0.124,0.211,0.149,0.149,0.0,0.0,0.0,0.0,0.0252,0,0,0,0
1.0,0.641,0.124,0.211,0.149,0.149,0.0,0.0,0.0,0.0,0.126,0,0,0,0
1.0,0.641,0.124,0.211,0.149,0.149,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.64,0.119,0.211,0.145,0.145,0.0,0.0,0.0,0.0,0.0251,0,0,0,0
1.0,0.631,0.0556,0.211,0.0864,0.0864,0.0,0.0,0.0,0.0,0.1,0,0,0,0
1.0,0.631,0.0556,0.211,0.0864,0.0864,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.631,0.0556,0.211,0.0864,0.0864,0.0,0.0,0.0,0.0,0.274,0,0,0,0
1.0,0.631,0.054,0.211,0.0847,0.0847,0.0,0.0,0.0,0.0,0.0747,0,0,0,0
1.0,0.631,0.0311,0.211,0.0617,0.0617,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.631,0.0311,0.211,0.0617,0.0617,0.0,0.0,0.0,0.0,0.0194,0,0,0,0
1.0,0.631,0.0311,0.211,0.0617,0.0617,0.0,0.0,0.0,0.0,0.0387,0,0,0,0
1.0,0.627,0.0301,0.225,0.0609,0.0609,0.0,0.0,0.0,0.0,0.0,0,0,0,0
