Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 10:00:00,0.18174634845767307,0.10266516431404922,0.03871440426507711,0.18174634845767307,0.10266516431404922,0.03871440426507711,0.027126630057304653,0.15461971840036842,0.0,0.03871440426507711,0.0,0.0,0.10266516431404922,0.0,1.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.001711277412280702,0.0,0.02541535264502395,0.0,0.017732832648302763,0.0,0.09922661131084275,0.07441995848313204,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,879.2133333333333,0.0,87.16776178747517,51.66666666666668,46.10666666666668,0.0,51.64253784157815,0.4121566881022336,1125.2805772691183,879.2133333333333,136.19962779292993,50.087036598439894,51.64253784157815,49.309285976870775,12.43753247303448,17.643454045543375,0.0,0.85,-201.85581059051182,-628.2182016006354,0.0,0.0,306.931713338803,697.3374030791584,2.002,0.028489770616687348,0.0,0.0,0.7267223746950042,132.13122767288888,119.4306776713206,0.36747390105918104,10.148012969490617,0.004511115533737135,-4.992893889738952,1.230618072457191
2025-01-01 11:00:00,0.1790104256909941,0.10193268440771917,0.030971523412061684,0.1790104256909941,0.10193268440771917,0.030971523412061684,0.025014454973726365,0.15399597071726773,0.0,0.030971523412061684,0.0,0.0,0.10193268440771917,0.0,1.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.001711277412280702,0.0,0.023303177561445666,0.0,0.018085724840308785,0.0,0.09824997143573604,0.073687478576802,0.0,0.0,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,703.3706666666666,0.0,85.77501053144165,51.66666666666668,46.10666666666668,0.0,51.24672464813957,0.1600449946895003,432.1896733629743,703.3706666666666,134.02345395537756,50.07051593777475,51.24672464813957,49.48241158259235,12.43753247303448,18.15805188890759,0.0,1.95,-135.52569495210565,-583.9802535563771,0.0,0.0,293.1762201740482,884.8871284557127,1.8339999999999999,0.027613100462174543,0.0,0.0,0.7043601091266526,121.04329248355556,155.27833843022324,0.3554263939266099,10.369697066574473,0.004508801508163648,-15.049541643094422,1.2278699622454414
2025-01-01 12:00:00,0.25979790936547387,0.09798319178492915,0.029330903102352455,0.25979790936547387,0.09798319178492913,0.02933090310235246,0.014012420629921089,0.14001625796632197,0.10576923076923077,0.0,0.029330903102352455,0.0,0.09798319178492915,0.0,1.0,0.039543288163284056,0.029657466122463037,0.0,0.0,0.0017825806377923979,0.0,0.012229839992128693,0.0,0.00937200225308309,0.0,0.09110096754995484,0.0683257256624661,0.0,0.0,793.9001996581196,21.111111111111143,0.8005208676345467,0.0,0.8596040362098769,0.10576923076923077,1.0,688.1309688888889,688.1309688888889,0.0,0.0,76.66200388569001,51.66666666666668,46.10666666666668,0.0,50.28715933464077,0.10892345674055033,290.6014687600567,0.0,119.78438107139065,47.97041879475441,50.28715933464077,46.81204852481123,12.43753247303448,19.466176085677386,-1.1089217924556531,3.05,540.7442087369798,-607.975481191573,0.0,0.0,186.18218565067957,960.2657123112774,0.5838,0.02850669540177361,0.0,0.0,0.7271540952649791,38.53057478293333,168.63730461975348,0.325510117801442,10.906824301851975,0.0044803925835576845,-92.11800204999322,1.2217914342509464
2025-01-01 13:00:00,0.2337972609277506,0.09692842071981388,0.06217912674695907,0.2337972609277506,0.09692842071981388,0.06217912674695908,0.01203105325237645,0.13715082305998955,0.0846153846153846,0.03871440426507711,0.023464722481881965,0.0,0.09692842071981388,0.0,1.0,0.039543288163284056,0.029657466122463037,0.0,0.0,0.001996490314327486,0.0,0.010034562938048965,0.0,0.007912928766904333,0.0,0.08969460612980117,0.06727095459735084,0.0,0.0,635.1201597264957,21.111111111111143,0.6404166941076374,0.0,0.6876832289679016,0.0846153846153846,0.8,550.5047751111111,688.1309688888889,879.2133333333333,0.0,81.61549077621699,51.66666666666668,46.10666666666668,0.0,51.77541215391061,0.15598210646103128,427.58101570862976,879.2133333333333,127.52420433783904,51.26701811577653,51.78961064787685,50.99862260274326,12.43753247303448,20.890478427863737,-0.04164275350572311,4.45,360.3981919787137,-606.2060105140994,0.0,0.0,164.84812561216884,901.2219533478495,0.3325000000000001,0.028516522794835082,0.0,0.0,0.7274047742373997,21.944871728888888,166.63591715414861,0.2935551097269167,11.447491914611199,0.0044160174102782675,-103.14217429004226,1.215347283667619
2025-01-01 14:00:00,0.18871134040555976,0.10407742460559508,0.03871440426507711,0.18871134040555976,0.10407742460559508,0.03871440426507711,0.026134790747641877,0.16257654965791787,0.0,0.03871440426507711,0.0,0.0,0.10407742460559508,0.0,1.0,0.039543288163284056,0.029657466122463037,0.0,0.0,0.0021390967653508773,0.0,0.023995693982291004,0.0,0.023806650183791078,0.0,0.09922661131084275,0.07441995848313204,0.0,0.0,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,879.2133333333333,0.0,75.75967636638052,51.66666666666668,46.10666666666668,0.0,51.22915708915552,0.24401017427783767,658.7820080349127,879.2133333333333,118.37449432246954,49.420955098936105,51.22915708915552,48.5168541038264,12.43753247303448,21.26006307315934,0.0,4.7,-140.77528046657872,-604.3626987996861,0.0,0.0,313.8967052866896,722.3981890909438,2.002,0.028263841787778635,0.0,0.0,0.7209593400512493,132.13122767288888,149.69071304641773,0.2847984548296383,11.569145004105028,0.0043860605564352735,-24.619497431250792,1.2132316518854707
2025-01-01 15:00:00,0.17338400371139423,0.1006757684045276,0.03871440426507711,0.17338400371139423,0.1006757684045276,0.03871440426507711,0.021158930434691248,0.15222507327670298,0.0,0.03871440426507711,0.0,0.0,0.1006757684045276,0.0,1.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.002495612892909357,0.0,0.018663317541781892,0.0,0.017990715403999474,0.0,0.09563257657045,0.07172443242783748,0.0,0.0,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,879.2133333333333,0.0,73.89029815713641,51.66666666666668,46.10666666666668,0.0,50.86999058687347,0.1437853913594189,387.3832795012915,879.2133333333333,115.45359087052566,48.72248523881925,50.86999058687347,47.64873256479214,12.43753247303448,21.283022576156196,0.0,4.15,-276.7562585433462,-634.2751643085764,0.0,0.0,249.15624132212938,455.1509675442994,1.2495,0.02862877249685233,0.0,0.0,0.7302680605413269,82.46651797066666,108.36266444310094,0.28242056953519856,11.546952862087547,0.004355384343764533,-68.08793913345905,1.2131594078812544
2025-01-01 16:00:00,0.21279650566624514,0.10906418684003152,0.0,0.2127965056662451,0.10906418684003152,0.0,0.034646839070977556,0.17814966659526757,0.0,0.0,0.0,0.0,0.10906418684003152,0.0,1.0,0.041426301885345206,0.031069726414008896,0.0,0.0,0.0031373419225146203,0.0,0.031509497148462934,0.0,0.03273075080855883,0.0,0.10399261390136354,0.07799446042602262,0.0,0.0,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,0.0,0.0,79.66808782391887,51.66666666666668,46.10666666666668,0.0,51.819712626494024,0.21271609840619868,579.9227548383511,0.0,124.48138722487323,50.82531048762327,51.819712626494024,50.3281094181879,12.43753247303448,21.14145760848321,0.0,3.05,-304.837852197078,-704.7440097135835,0.0,0.0,348.62068623048305,131.09739725311445,2.16825,0.0299098235926521,0.0,0.0,0.7629453504700827,143.10366353733332,51.285471286022464,0.2830601354249842,11.457299491299144,0.004327246352815276,-51.938017292072054,1.2137636451672487
2025-01-01 17:00:00,0.32418262809414505,0.12861854848370133,0.03871440426507711,0.324182628094145,0.12861854848370133,0.03871440426507711,0.07722659213304958,0.24695603596109542,0.0,0.03871440426507711,0.0,0.0,0.12861854848370133,0.0,1.0,0.04519232932946749,0.033894246997100606,0.0,0.0,0.003992980628654972,0.0,0.07323361150439461,0.0,0.07546463798282692,0.0,0.126299068648801,0.09472430148660073,0.0,0.0,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,879.2133333333333,0.0,79.228568744875,51.66666666666668,46.10666666666668,0.0,51.79327552593818,0.21264439022080342,584.0193394199906,879.2133333333333,123.79463866386719,50.32620215437502,51.79327552593818,49.59266546859344,12.43753247303448,20.86448527981209,0.0,1.95,-138.2044585432282,-763.0839153820639,0.0,0.0,601.3180217136178,6.387740002691333,4.332999999999999,0.03094249434642386,0.0,0.0,0.7892869083771695,285.9763284248889,23.56143512521787,0.28662804202192926,11.316753275399748,0.004309764674648184,33.56084274049644,1.2143484557072817
2025-01-01 18:00:00,0.34924646002489035,0.1300601079715004,0.0,0.34924646002489035,0.1300601079715004,0.0,0.08659197648187897,0.2626544835430114,0.0,0.0,0.0,0.0,0.1300601079715004,0.0,1.0,0.04707534305152864,0.03530650728864647,0.0,0.0,0.004563406432748538,0.0,0.08202857004913043,0.0,0.08924100624767752,0.0,0.12633813424380527,0.09475360068285393,0.0,0.0,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,688.1309688888889,0.0,0.0,74.24595931497197,51.66666666666668,46.10666666666668,0.0,50.903617482797934,0.03598214190230953,96.78181074123475,0.0,116.0093114296437,48.293840948064584,50.903617482797934,46.98895268069791,12.43753247303448,20.70941197212303,-0.01841703660249229,1.15,-154.55982097541087,-782.1921748090246,0.0,0.0,609.8627155936017,0.0,4.08275,0.030589238333370315,0.0,0.0,0.7802759882074161,269.45992496577776,17.76963824001182,0.29121183865819145,11.277097961968378,0.0043393203624281194,21.038274838786766,1.2143569769447882
2025-01-01 19:00:00,0.38667042360448833,0.11959439603771525,0.05875718805168462,0.3866704236044884,0.11959439603771524,0.05875718805168462,0.06779836198963667,0.2465964205892107,0.07227564102564103,0.03871440426507711,0.02004278378660751,0.0,0.11959439603771525,0.0,1.0,0.04519232932946749,0.033894246997100606,0.0,0.0,0.004848619334795323,0.0,0.06294974265484134,0.0,0.08713722587225696,0.0,0.11426686538748623,0.08570014904061464,0.0,0.0,542.4984697663817,21.111111111111143,0.5470225928836069,0.0,0.5873960914100825,0.07227564102564103,0.6833333333333333,470.22282874074074,688.1309688888889,879.2133333333333,0.0,81.09130009229396,51.66666666666668,46.10666666666668,0.0,51.60315011253578,0.10654232972260616,290.0893956873518,879.2133333333333,126.70515639420931,50.722987560672784,51.604144097305266,50.28191229997181,12.43753247303448,20.56119747177258,-0.10373376513163457,-0.25000000000000006,189.63047387020245,-859.3988176510894,0.0,0.0,493.3895089968344,0.0,2.83325,0.031374850202021305,0.0,0.0,0.800315522061726,186.9934069951111,13.141312758075648,0.2929431942142957,11.198565540570678,0.004325104824323376,-54.527520746903676,1.2149803562451575
2025-01-01 20:00:00,0.46212883470777955,0.12096850882591964,0.026397812792117212,0.46212883470777955,0.12096850882591964,0.026397812792117212,0.07005314352423835,0.29688338349123355,0.0951923076923077,0.0,0.026397812792117212,0.0,0.12096850882591964,0.0,1.0,0.04425082246843692,0.033188116851327686,0.0,0.0,0.004991225785818714,0.0,0.06506191773841961,0.0,0.1355920383900073,0.0,0.1170405226327893,0.08778039197459195,0.0,0.0,714.5101796923077,21.111111111111143,0.720468780871092,0.0,0.7736436325888892,0.0951923076923077,0.9,619.317872,688.1309688888889,0.0,0.0,77.22395863032953,51.66666666666668,46.10666666666668,0.0,50.9319537768922,0.08083076431859157,215.45474534060594,0.0,120.66243535988991,49.83281528749955,50.9319537768922,49.28324604280322,12.43753247303448,21.08104853744971,0.0,-0.55,420.06544233134997,-913.570830628172,0.0,0.0,611.8027112627321,0.0,3.83425,0.03210005486253706,0.0,0.0,0.8188141776009599,253.05902083155556,7.323382004482042,0.2822753166224608,11.397846477210862,0.004303153871128294,4.310023877544791,1.212849583591921
