Time of Day,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10
11:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
12:15:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
12:30:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
12:45:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:00:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:15:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:30:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:45:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:00:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:15:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:30:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:45:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
15:00:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
15:15:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
15:30:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
15:45:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
16:00:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
16:15:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
16:30:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
16:45:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:00:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:15:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:30:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:45:00,1.4,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:00:00,1.4,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:15:00,1.4,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:30:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:45:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:00:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:15:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:30:00,0.7777777777778969,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:45:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:00:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:15:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:00:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:15:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:00:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:15:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:00:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:15:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
