Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-20 20:00:00,4.390601656858058,0.5042918653945393,0.012274596955824474,1.5209316057728828,2.175759928888889,0.11893184086295314,0.5249782813333334,0.05,0.012274596955824474,0.0,51.48934227547472,20.818772886163387,-0.058928134527100676
2025-01-20 21:00:00,1.2157564469088307,0.4299035137394328,0.013032288125937094,1.0949244846000046,0.0,0.07083196230882603,0.0,0.05,0.013032288125937094,0.0,51.6869462894006,18.958489936395672,-0.0017394096935590278
2025-01-20 22:00:00,2.093985991661083,0.3776299796086015,0.011365367551689327,0.6984037867928268,1.3054559573333335,0.040126247534922596,0.0,0.05,0.011365367551689327,0.0,51.33937227225678,17.487150460174803,-0.04784726139107149
2025-01-20 23:00:00,2.708381937041483,0.3388388032757188,0.009849985211464084,0.46840215114932365,2.175759928888889,0.014219857003270088,0.0,0.05,0.009849985211464084,0.0,50.9900467012125,17.492996899519667,-0.05383473388349582
2025-01-21 00:00:00,2.6773980168572673,0.33183517455895223,0.006667682296991071,0.4404780532145206,2.175759928888889,0.01116003475385733,0.0,0.05,0.006667682296991071,0.0,50.70203791821758,17.487186087312732,-0.04802861685487698
2025-01-21 01:00:00,3.401495926814143,0.33114483728382743,0.0034853793825180605,0.4395576035143543,2.9010132385185186,0.01092508478126961,0.0,0.05,0.0034853793825180605,0.0,50.36794416035863,17.45161045696739,-0.06378394645421412
2025-01-21 02:00:00,2.675322167484347,0.33045450000870263,0.0028792264464279627,0.43863715381418783,2.175759928888889,0.01092508478126961,0.0,0.05,0.0028792264464279627,0.0,50.02848996244415,17.476239771552454,-0.05450315248897925
2025-01-21 03:00:00,3.5445490560246777,0.32976416273357784,0.0022730735103378653,0.43771670411402147,3.046063900444445,0.01076845146621113,0.0,0.05,0.0022730735103378653,0.0,49.71009235305681,17.465788699403614,-0.06659769675994501
2025-01-21 04:00:00,2.8504329521489127,0.3353871169000948,0.00242461174436039,0.4673843966775108,2.320810590814815,0.012237964656586523,0.0,0.05,0.00242461174436039,0.0,49.42604577936796,17.46727603630521,-0.05886369117572598
2025-01-21 05:00:00,4.584493097397035,0.35458467658998516,0.0027276882124054385,0.4788243947135592,3.3361652242962965,0.01953243660940098,0.6999710417777778,0.05,0.0027276882124054385,0.0,49.342163692450164,17.508751492656,-0.05976271465204928
2025-01-21 06:00:00,5.947162347003453,0.36343822672421894,0.003939994084585633,0.5009117316143159,5.366874491259259,0.029376124129877272,0.0,0.05,0.003939994084585633,0.0,51.54538671200372,19.622591681579642,-0.1507739259501042
2025-01-21 07:00:00,4.676159406543892,0.3730648329533476,0.005000761722743305,0.5314883180665511,4.061418533925926,0.03325255455141461,0.0,0.05,0.005000761722743305,0.0,51.19191698149662,19.75496999085743,-0.06401137717715659
2025-01-21 08:00:00,5.144534352047176,0.3763320238781221,0.005000761722743305,0.5579787212413774,3.3361652242962965,0.033772003546538074,1.1666184029629632,0.05,0.005000761722743305,0.0,50.74350870934892,19.75319880447603,-0.06311524735001305
2025-01-21 09:00:00,3.315396730356556,0.38805670798402825,0.00484922348872078,0.614669634236447,2.610911914666667,0.03981518145344194,0.0,0.05,0.00484922348872078,0.0,51.668170926965516,19.810131098565005,-0.04227742716111737
2025-01-21 10:00:00,3.7119364576293346,0.5227291005224065,0.005000761722743305,0.7705425297193816,2.030709266962963,0.04405177887291523,0.8166328820740741,0.05,0.005000761722743305,0.0,51.31559650102473,19.754466528863453,-0.057308496028714316
2025-01-21 11:00:00,5.7098665856478075,0.9349694412405941,0.005000761722743305,3.629088425988442,1.1604052954074076,0.0537399821778832,0.8166328820740741,0.05,0.005000761722743305,0.0,51.2922244619056,19.724771677702947,-0.06314508370558874
2025-01-21 12:00:00,3.2637985823637847,0.42082887319729184,0.00484922348872078,0.8340963737821157,1.1604052954074076,0.05267851021129856,1.1666184029629632,0.05,0.00484922348872078,0.0,51.270499995035685,19.7256735996585,-0.05565466785424468
2025-01-21 13:00:00,2.282802163590156,0.42082887319729184,0.00484922348872078,0.8445313542909931,1.1604052954074076,0.05287275344731079,0.17499276044444445,0.05,0.00484922348872078,0.0,51.341526883897906,19.707966946413027,-0.061382512916259145
