occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.444,0.675,0.0936,0.234,0.228,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.142,0.14,0.311,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.156,0.14,0.311,0.0,0.0,0.0,0.0819,0,0,0,0
0.556,0.704,0.137,0.187,0.271,0.0,0.0,0.0,0.0819,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.0,0.0,0.0,0.164,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.651,0.0919,0.281,0.187,0.0,0.0,0.0,0.0,0,0,0,0
0.444,0.693,0.126,0.234,0.248,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.316,0.333,0.0,0.0819,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.278,1.0,0.0,0.0,0,0,0,0
0.667,0.771,0.195,0.14,0.374,0.459,0.6,0.0,0.164,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.172,0.0,0.0,0.0819,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0281,0.0,0.0,0.0,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0438,0.0,0.0,0.0,0,0,0,0
0.667,0.81,0.24,0.14,0.472,0.1,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,1.0,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.172,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0719,0.0,0.0,0.0,0,0,0,0
0.667,0.84,0.304,0.14,0.599,0.262,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.206,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.425,0.0,0.0,0.0819,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.728,0.0,0.0,0.164,0,0,0,0
0.667,0.845,0.414,0.14,0.672,0.297,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.406,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.216,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.51,0.14,0.668,0.0625,0.0,0.0,0.159,0,0,0,0
0.667,0.827,0.55,0.14,0.628,0.0,0.0,0.0,0.0318,0,0,0,0
0.667,0.81,0.629,0.14,0.549,0.0,0.0,0.0,0.0,0,0,0,0
0.778,0.852,0.731,0.0936,0.632,0.0,0.0,0.0,0.161,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0.0,0.194,0,0,0,0
1.0,0.908,0.919,0.0,0.733,0.0,0.0,0.0,0.246,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.0,0.0,0.309,0,0,0,0
1.0,0.824,0.79,0.0468,0.541,0.0,0.0,0.0,0.029,0,0,0,0
1.0,0.758,0.596,0.14,0.418,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.717,0.461,0.187,0.348,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.61,0.131,0.327,0.155,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.588,0.0256,0.374,0.0936,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.64,0.0449,0.281,0.182,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.699,0.0721,0.187,0.28,0.0,0.0,0.0,0.157,0,0,0,0
1.0,0.818,0.126,0.0,0.475,0.0,0.0,0.0,0.0626,0,0,0,0
1.0,0.818,0.126,0.0,0.475,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.126,0.0,0.475,0.0,0.0,0.0,0.158,0,0,0,0
1.0,0.818,0.134,0.0,0.48,0.0,0.0,0.0,0.34,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.0,0.0,0.0,0.0,0,0,0,0
0.889,0.789,0.135,0.0468,0.44,0.0,0.0,0.0,0.535,0,0,0,0
0.667,0.732,0.105,0.14,0.342,0.0,0.0,0.0,0.151,0,0,0,0
0.667,0.732,0.109,0.14,0.339,0.0,0.0,0.333,0.151,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.732,0.121,0.14,0.329,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.0,0.0,0.8,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.131,0.14,0.318,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.142,0.14,0.311,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.0,0.0,0.0,0.0,0,0,0,0
0.556,0.704,0.13,0.187,0.266,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0859,0.281,0.18,0.0,0.0,0.0,0.0819,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.0,0.0,0.0,0.0819,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0888,0.281,0.182,0.0,0.0,0.333,0.0819,0,0,0,0
0.333,0.651,0.0919,0.281,0.187,0.0,0.0,1.0,0.0,0,0,0,0
0.333,0.66,0.0982,0.281,0.198,0.0,0.0,1.0,0.246,0,0,0,0
0.444,0.693,0.126,0.234,0.248,0.0,0.0,1.0,0.164,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.0,0.0,1.0,0.491,0,0,0,0
0.667,0.771,0.195,0.14,0.374,0.0,0.0,1.0,0.0819,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0,0.0,1.0,0.0819,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0,0.0,0.933,0.164,0,0,0,0
0.667,0.81,0.24,0.14,0.472,0.0,0.0,0.0,0.155,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0,0.0,0.0,0.0931,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0,0.0,0.0,0.162,0,0,0,0
0.667,0.84,0.304,0.14,0.599,0.0,0.0,0.0,0.276,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.0,0.0,0.0,0.325,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.0,0.0,0.0,0.354,0,0,0,0
0.778,0.891,0.497,0.0936,0.775,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0.0,0.0819,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0.0,0.0,0,0,0,0
0.889,0.928,0.675,0.0468,0.874,0.0,0.0,0.0,0.0,0,0,0,0
0.556,0.786,0.448,0.187,0.545,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.686,0.322,0.281,0.299,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.686,0.322,0.281,0.299,0.0,0.0,0.0,0.0819,0,0,0,0
0.444,0.727,0.425,0.234,0.382,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.76,0.521,0.187,0.444,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.66,0.306,0.281,0.234,0.0,0.0,0.0,0.0,0,0,0,0
0.778,0.693,0.403,0.234,0.295,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.741,0.518,0.14,0.4,0.0,0.0,0.0,0.0925,0,0,0,0
1.0,0.682,0.305,0.187,0.312,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.0,0.0,0.0,0.282,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.61,0.131,0.327,0.155,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.577,0.0173,0.374,0.05,0.0,0.0,0.0,0.151,0,0,0,0
1.0,0.608,0.02,0.281,0.0512,0.0,0.0,0.0,0.151,0,0,0,0
1.0,0.608,0.02,0.281,0.0512,0.0,0.0,0.0,0.164,0,0,0,0
1.0,0.608,0.02,0.281,0.0512,0.0,0.0,0.0,0.163,0,0,0,0
1.0,0.608,0.022,0.281,0.0618,0.0,0.0,0.0,0.294,0,0,0,0
1.0,0.608,0.026,0.281,0.0831,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.281,0.0831,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.281,0.0831,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.612,0.0292,0.281,0.106,0.0,0.0,0.0,0.164,0,0,0,0
1.0,0.621,0.0355,0.281,0.151,0.0,0.0,0.0,0.0819,0,0,0,0
0.889,0.601,0.029,0.327,0.117,0.0,0.0,0.0,0.0,0,0,0,0
0.778,0.581,0.0224,0.374,0.0831,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.654,0.0483,0.234,0.205,0.0,0.0,0.0,0.318,0,0,0,0
1.0,0.719,0.074,0.14,0.315,0.0,0.0,0.0,0.0308,0,0,0,0
1.0,0.746,0.0837,0.0936,0.359,0.0,0.0,0.0,0.0,0,0,0,0
0.889,0.772,0.0934,0.0468,0.403,0.0,0.0,0.0,0.0,0,0,0,0
0.778,0.752,0.0914,0.0936,0.368,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.126,0.0,0.475,0.0,0.0,0.0,0.0,0,0,0,0
0.889,0.789,0.114,0.0468,0.428,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.0895,0.14,0.333,0.0,0.0,0.0,0.0,0,0,0,0
0.556,0.704,0.0798,0.187,0.287,0.0,0.0,0.0,0.164,0,0,0,0
0.333,0.647,0.0604,0.281,0.196,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0604,0.281,0.196,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0604,0.281,0.196,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0624,0.281,0.194,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0664,0.281,0.191,0.0,0.0,0.0,0.0,0,0,0,0
0.444,0.675,0.0833,0.234,0.239,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.117,0.14,0.333,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.121,0.14,0.329,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.14,0.321,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.732,0.131,0.14,0.318,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.14,0.312,0.0,0.0,0.0,0.246,0,0,0,0
0.667,0.732,0.142,0.14,0.311,0.0,0.0,0.0,0.41,0,0,0,0
0.667,0.732,0.153,0.14,0.31,0.0,0.0,0.0,0.246,0,0,0,0
0.667,0.704,0.13,0.187,0.266,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.647,0.0845,0.281,0.179,0.0,0.0,0.0,0.164,0,0,0,0
0.667,0.647,0.0859,0.281,0.18,0.0,0.0,0.0,0.164,0,0,0,0
0.667,0.647,0.0888,0.281,0.182,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.675,0.113,0.234,0.226,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.162,0.14,0.315,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.741,0.168,0.14,0.326,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.0,0.0,0.0,0.164,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.181,0.14,0.347,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.771,0.195,0.14,0.374,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0,0.0,0.333,0.0,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.797,0.224,0.14,0.427,0.0,0.0,1.0,0.164,0,0,0,0
0.667,0.81,0.24,0.14,0.472,0.0,0.0,1.0,0.246,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0,0.0,1.0,0.0819,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0,0.0,1.0,0.0819,0,0,0,0
0.667,0.836,0.273,0.14,0.561,0.0,0.0,1.0,0.0819,0,0,0,0
0.667,0.84,0.304,0.14,0.599,0.0,0.0,0.867,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.366,0.14,0.674,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.799,0.332,0.187,0.569,0.0,0.0,0.0,0.164,0,0,0,0
0.667,0.699,0.263,0.281,0.359,0.0,0.0,0.0,0.0819,0,0,0,0
0.667,0.699,0.263,0.281,0.359,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.699,0.263,0.281,0.359,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.695,0.283,0.281,0.339,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.686,0.322,0.281,0.299,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.686,0.322,0.281,0.299,0.0,0.0,0.0,0.0,0,0,0,0
0.778,0.686,0.322,0.281,0.299,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.677,0.317,0.281,0.277,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.66,0.306,0.281,0.234,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.66,0.306,0.281,0.234,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.66,0.306,0.281,0.234,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.651,0.267,0.281,0.225,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.281,0.207,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.627,0.155,0.281,0.177,0.0,0.0,0.0,0.154,0,0,0,0
1.0,0.614,0.0879,0.281,0.116,0.0,0.0,0.0,0.277,0,0,0,0
1.0,0.614,0.0879,0.281,0.116,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.597,0.0639,0.327,0.0936,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
