,Phases,Bus1,kV,Conn,kW,kvar,PF,kVA,%CutIn,%CutOut,EffCurve,VarFollowInverter,kvarMax,kvarMaxAbs,WattPriority,PFPriority,%PMinNoVars,%PMinkvarMax,kWRated,%kWRated,kWhRated,kWhStored,%Stored,%Reserve,State,%Discharge,%Charge,%EffCharge,%EffDischarge,%IdlingkW,%Idlingkvar,%R,%X,Model,VMinpu,VMaxpu,Balanced,LimitCurrent,Yearly,Daily,Duty,DispMode,DischargeTrigger,ChargeTrigger,TimeChargeTrig,Class,DynaDLL,DynaData,UserModel,UserData,DebugTrace,kVDC,Kp,PITol,SafeVoltage,SafeMode,DynamicEq,DynOut,ControlMode,AmpLimit,AmpLimitGain,Spectrum,BaseFreq,Enabled,Like
Storage.der_633_c_39,2,tlx_633_c_h_39.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_652_a_8,2,tlx_652_a_h_8.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_38,2,tlx_633_c_h_38.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_652_a_9,2,tlx_652_a_h_9.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_35,2,tlx_633_c_h_35.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_34,2,tlx_633_c_h_34.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_37,2,tlx_633_c_h_37.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_36,2,tlx_633_c_h_36.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_31,2,tlx_633_c_h_31.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_30,2,tlx_633_c_h_30.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_33,2,tlx_633_c_h_33.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_32,2,tlx_633_c_h_32.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_633_c_40,2,tlx_633_c_h_40.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_16,2,tlx_645_b_h_16.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_17,2,tlx_645_b_h_17.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
