Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-15 08:00:00,0.7389017150222957,0.14912107237849467,0.04428375,0.2044593922957769,0.051664375,0.01613058654133371,0.4666473611851852,0.0,0.04428375,0.0,51.41689605758202,19.41620131581641,-0.11817538057936629
2025-01-15 09:00:00,0.24868925423915741,0.14912107237849467,0.024602083333333337,0.2044593922957769,0.028702430555555554,0.015527431387824937,0.0,0.0,0.024602083333333337,0.0,51.36653807765056,19.735828445210334,-0.013110764587452372
2025-01-15 10:00:00,0.29926204352652286,0.14837777748820738,0.06888583333333334,0.2034683324420605,0.08036680555555556,0.015426905528906808,0.0,0.0,0.06888583333333334,0.0,51.03770765042177,19.56822875317871,-0.12466169191610159
2025-01-15 11:00:00,0.21889523797096733,0.14837777748820738,0.0,0.2034683324420605,0.0,0.015426905528906808,0.0,0.0,0.0,0.0,50.72315288667884,19.55241769525542,-0.04070035542065629
2025-01-15 12:00:00,0.3013446890928738,0.14986436726878197,0.06888583333333334,0.20545045214949328,0.08036680555555556,0.015527431387824937,0.0,0.0,0.06888583333333334,0.0,50.45731694228694,19.46339607757038,-0.16656271246998652
2025-01-15 13:00:00,1.1090735467084385,0.2039095120382467,0.0,0.3482028866790319,0.0,0.11923053839977717,0.6416401216296297,0.0,0.0,0.0,50.60136362325043,19.78883696248963,0.0
2025-01-15 14:00:00,0.9359608854064118,0.19039822584588054,0.0,0.316543456639349,0.0,0.09443914743372944,0.5249782813333334,0.0,0.0,0.0,51.33165226817273,19.556934903815595,-0.003972736830051638
2025-01-15 15:00:00,0.2209920822727831,0.14912107237849467,0.0,0.2044593922957769,0.0,0.016532689977006222,0.0,0.0,0.0,0.0,50.94926373166653,19.327630942523417,-0.17236905747663964
2025-01-15 16:00:00,0.305236800119751,0.15135095704935655,0.06888583333333334,0.20743257185692607,0.08036680555555556,0.01743742270726938,0.0,0.0,0.06888583333333334,0.0,50.616595009923955,19.57563255861087,-0.14616663203731625
2025-01-15 17:00:00,0.2500405442860786,0.1601574699438391,0.0,0.21139681127179163,0.0,0.018643733014286925,0.0,0.020000000000000004,0.0,0.0,50.29139715919942,19.567798421238273,0.0
2025-01-15 18:00:00,0.5501098373200393,0.212972427033605,0.0,0.3670261907431259,0.0,0.1430836465769133,0.0,0.04000000000000001,0.0,0.0,49.966378321472874,19.30031153671227,0.0
2025-01-15 19:00:00,1.4215669740979218,0.2321222157734022,0.0,0.4774802454348774,0.0,0.2041156868852666,0.6999710417777778,0.04000000000000001,0.0,0.0,50.9854108012687,19.414249590587623,0.0
2025-01-15 20:00:00,0.42751353915332596,0.18488109613516723,0.0,0.3180517183750145,0.0,0.06946182077831141,0.0,0.04000000000000001,0.0,0.0,51.53936909310815,19.172502109300858,0.0
2025-01-15 21:00:00,0.6947487230717898,0.21527709364134887,0.0,0.5128382610764098,0.0,0.14191046199538,0.0,0.04000000000000001,0.0,0.0,51.10546319212218,19.21507701597289,0.0
2025-01-15 22:00:00,0.26607630487121303,0.16301762371602324,0.0,0.20743257185692607,0.0,0.018643733014286925,0.0,0.04000000000000001,0.0,0.0,50.77216616953409,18.943567102942723,0.0
2025-01-15 23:00:00,0.2621983925798007,0.16078773904516136,0.0,0.2044593922957769,0.0,0.017739000284023768,0.0,0.04000000000000001,0.0,0.0,50.43922630174815,18.665661473284,0.0
2025-01-16 00:00:00,0.2605036517136574,0.1600444441548741,0.0,0.2034683324420605,0.0,0.017035319271596867,0.0,0.04000000000000001,0.0,0.0,50.1073586092497,18.462520553331597,0.0
2025-01-16 01:00:00,0.2592110142831866,0.15930114926458677,0.0,0.2024772725883441,0.0,0.01673374169484248,0.0,0.04000000000000001,0.0,0.0,49.777018763282875,18.263682127670585,0.0
