Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-26 14:00:00,0.656136959241156,0.06260556540793923,0.0031467555203434877,0.08515406128015145,0.5312304206267807,0.039752477334223865,0.0,0.0031467555203434877,0.0,49.21628748250319,20.73691323010147,-0.07845498079015431
2025-01-26 15:00:00,0.6307730281141374,0.061899435262166305,0.0032450916303542227,0.08421255441912087,0.5046688995954417,0.04189157409957474,0.0,0.0032450916303542227,0.0,48.91754990803879,20.683218822724687,-0.07986751979458735
2025-01-26 16:00:00,0.31870967049879223,0.06401782569948508,0.00442512495048303,0.0870370750022126,0.18593064721937325,0.04574194827720632,0.0,0.00442512495048303,0.0,48.62210855717551,20.648871929082592,-0.0826789575926675
2025-01-26 17:00:00,1.2323963591952882,0.0760760217940759,0.005605158270611838,0.1187574472163346,0.3187382523760684,0.2115914581214036,0.5833092014814816,0.005605158270611838,0.0,48.470468190130255,20.915655747436364,0.0
2025-01-26 18:00:00,0.9161138732996705,0.09309759068839409,0.006490183260708445,0.17590290670950878,0.0,0.5318862517753469,0.20832471481481488,0.006490183260708445,0.0,51.49058514684375,20.966345262689906,0.0
2025-01-26 19:00:00,0.7578167785244062,0.09136288458533554,0.007473544360815784,0.1935066389565723,0.0,0.5643101395678339,0.0,0.007473544360815784,0.0,50.97534845412399,21.31031272655276,0.0
2025-01-26 20:00:00,1.3369268645813952,0.08879536270946677,0.007965224910869454,0.21039617047264805,0.0,0.5015565496643026,0.6249741444444445,0.007965224910869454,0.0,50.78851403367264,21.528014361349427,0.0
2025-01-26 21:00:00,1.0482576510632147,0.08206535853952536,0.008456905460923123,0.19273239967865155,0.0,0.35554593582900745,0.49997931555555564,0.008456905460923123,0.0,51.29276570170858,21.579255665884354,0.0
2025-01-26 22:00:00,0.137912855516261,0.06401782569948508,0.00737520825080505,0.0870370750022126,0.0,0.050875780514048424,0.0,0.00737520825080505,0.0,51.70786497540871,21.116935189870926,0.0
2025-01-26 23:00:00,0.13123796075553773,0.061899435262166305,0.00639184715069771,0.08421255441912087,0.0,0.047025406336416845,0.0,0.00639184715069771,0.0,51.39027190249608,20.79535140325749,0.0
2025-01-27 00:00:00,0.12744964066813494,0.06119330511639338,0.004326788840472296,0.0834189698032093,0.0,0.04403067086492561,0.0,0.004326788840472296,0.0,51.073394331805545,20.56631361761646,-0.05598978831699597
2025-01-27 01:00:00,0.5768550602778683,0.060487174970620436,0.002261730530246882,0.08256198993938958,0.45154585753276355,0.04274721280571508,0.0,0.002261730530246882,0.0,50.76998791929599,20.56830600368529,-0.16782242444251932
2025-01-27 02:00:00,0.1243676958840741,0.059781044824847515,0.001868386090203946,0.081620483078359,0.0,0.04274721280571508,0.0,0.001868386090203946,0.0,50.51504942199021,20.785840868222536,-0.015432473242972833
2025-01-27 03:00:00,0.5741164078496668,0.05907491467907458,0.0014750416501610097,0.08067897621732843,0.45154585753276355,0.04189157409957474,0.0,0.0014750416501610097,0.0,50.20596237446611,20.603240341971134,-0.14455412235489995
2025-01-27 04:00:00,0.12162904345587261,0.058368784533301646,0.0015733777601717438,0.07973746935629786,0.0,0.04189157409957474,0.0,0.0015733777601717438,0.0,49.90227500043879,20.688106833557903,-0.05273609788818134
2025-01-27 05:00:00,0.601447699432256,0.058368784533301646,0.0017700499801932119,0.07973746935629786,0.47810737856410257,0.04360285151185545,0.0,0.0017700499801932119,0.0,49.6102584946927,20.794251941870353,-0.07093454349376772
2025-01-27 06:00:00,0.6054698099196679,0.059781044824847515,0.002556738860279084,0.081620483078359,0.47810737856410257,0.04574194827720632,0.0,0.002556738860279084,0.0,49.36846442223857,20.581107632313703,-0.11400696783854211
2025-01-27 07:00:00,0.12796198701841596,0.06119330511639338,0.0032450916303542227,0.08350349680042016,0.0,0.04445849021799579,0.0,0.0032450916303542227,0.0,49.073265803210646,20.738264203466404,-0.053515472172975836
