Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-13 23:00:00,2.098225527657463,0.18953329951716139,0.1893,1.8027960875376299,0.22085000000000002,0.06758144011983289,0.006998,0.1893,0.0,0.0,51.66666666666668,20.79737772960077,-0.05905051568986905
2025-01-14 00:00:00,0.6278989990808529,0.176047944115677,0.28395,0.2564840089716959,0.331275,0.03314199010915691,0.006998,0.28395,0.0,0.0,51.66666666666668,20.789563775935516,-0.06106002529346834
2025-01-14 01:00:00,0.26939599136523223,0.16871607159520977,0.0,0.2357791427288989,0.0,0.02661884863633333,0.006998,0.0,0.0,0.0,51.66666666666668,19.034231963544833,0.0
2025-01-14 02:00:00,0.33742055651151587,0.16797277670492247,0.05915625000000001,0.23478808287518252,0.06901562500000001,0.02661884863633333,0.006998,0.05915625000000001,0.0,0.0,51.66666666666668,17.409575644850953,-0.0569694073597347
2025-01-14 03:00:00,0.4051435440810451,0.16722948181463515,0.11831250000000001,0.23379702302146613,0.13803125000000002,0.026317271059578946,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,17.45525971119884,-0.05527003353639888
2025-01-14 04:00:00,0.4041524842273287,0.16648618692434786,0.11831250000000001,0.23280596316774974,0.13803125000000002,0.026317271059578946,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,17.452049944874254,-0.05621580578573416
2025-01-14 05:00:00,0.40475563938083753,0.16648618692434786,0.11831250000000001,0.23280596316774974,0.13803125000000002,0.02692042621308772,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,17.449818342340464,-0.06297053954592519
2025-01-14 06:00:00,0.40749170303015625,0.16797277670492247,0.11831250000000001,0.23478808287518252,0.13803125000000002,0.02767437015497368,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,17.45054917159952,-0.06331266648261427
2025-01-14 07:00:00,0.4090214563724574,0.16945936648549706,0.11831250000000001,0.2367702025826153,0.13803125000000002,0.027222003789842106,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,17.42784882226418,-0.0661124986991941
2025-01-14 08:00:00,0.5239252954836856,0.20140517053003285,0.05915625000000001,0.3321708404146892,0.06901562500000001,0.11574083006899653,0.006998,0.05915625000000001,0.0,0.0,51.66666666666668,17.392245278722907,-0.06294359926179596
