Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-03 15:00:00,1.1051780144429062,0.6915796124944025,0.03871440426507711,0.11180313246216542,0.9250493669676314,0.018325515013109372,0.05,0.03871440426507711,0.0,50.961954392239726,17.87083990116513,-0.0841906365078545
2025-01-03 16:00:00,0.32110870710178124,0.14794781544084012,0.0,0.14726268572953247,0.0665840412361968,0.057261980136052014,0.05,0.0,0.0,51.25952145596492,18.042078252027164,-0.01890680021793519
2025-01-03 17:00:00,1.1526976154164281,0.6720477737030941,0.030971523412061684,0.15922358042356005,0.8705899262392711,0.07288410875359702,0.05,0.030971523412061684,0.0,51.6409473235443,17.965648096349227,-0.10021129305704661
2025-01-03 18:00:00,0.309053342502862,0.11192899501458546,0.023228642559046265,0.17209527883614748,0.0,0.08695806366671453,0.05,0.023228642559046265,0.0,50.849123756987744,17.869741908538174,-0.06251753853741923
2025-01-03 19:00:00,1.2743732621529247,0.6944387869395346,0.007742880853015421,0.21156929774865818,0.8983767794707038,0.11442718493356292,0.05,0.007742880853015421,0.0,51.72368367187068,18.10595412513229,-0.05462568155808114
2025-01-03 20:00:00,0.4649204633285481,0.11861026098914666,0.06194304682412337,0.2791146245779646,0.0,0.13580583875058352,0.05,0.06194304682412337,0.0,51.24429517804309,17.906237813146713,-0.013809339539616102
2025-01-03 21:00:00,0.4115343129765833,0.11286843741865048,0.0,0.2608120428124682,0.0,0.10072227016411511,0.05,0.0,0.0,51.09747942048671,17.63880141326221,-0.19453192007115944
2025-01-03 22:00:00,1.1365876577261738,0.663912959582532,0.030971523412061684,0.16305641945167515,0.8703608435207028,0.05317039475379578,0.05,0.030971523412061684,0.0,50.78510561133142,18.13577457965072,-0.027589719617500088
2025-01-03 23:00:00,0.5485039947770858,0.32878007039725793,0.030971523412061684,0.11468411975670129,0.36360860936626804,0.020211265654116486,0.05,0.030971523412061684,0.0,51.08901013958485,17.731955964936375,-0.11911384880457376
2025-01-04 00:00:00,0.7054856655325421,0.436898131947947,0.0,0.10732161553745782,0.5334179850767494,0.014746064918334916,0.05,0.0,0.0,51.98808597539317,18.172247129030264,-8.066770566852454e-05
