Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-09 09:00:00,0.5949273079933348,0.1676342882481797,0.0,0.24160886279117097,0.33914188977777776,0.014176555424386145,0.0,0.0,50.69714459304633,20.98417705537756,-0.007131914763481125
2025-01-09 10:00:00,0.908482697609385,0.2028922013206868,0.030441204886400744,0.38667045879676565,0.44705067288888883,0.07476156592373057,0.030441204886400744,0.0,50.705940298765924,20.761354825664213,-0.09527847581917909
2025-01-09 11:00:00,0.6323437997973766,0.23041120675921886,0.12176481954560298,0.5149260944838835,0.0,0.11741770531349313,0.12176481954560298,0.0,51.552505399431716,20.991005182865983,0.0
2025-01-09 12:00:00,0.4233882146782328,0.19578165121985786,0.06849271099440167,0.36569447800517774,0.0,0.057693736673055065,0.06849271099440167,0.0,51.990534532710434,20.67994142412697,-0.05725965666783424
2025-01-09 13:00:00,1.135605582925592,0.1683246255233045,0.0,0.24252931249133738,0.8786858053333333,0.014390465100921233,0.0,0.0,51.716016643199346,20.928111680626014,-0.02714488208720649
2025-01-09 14:00:00,0.4420488693766154,0.1683246255233045,0.0,0.24252931249133738,0.18498648533333334,0.014533071551944625,0.0,0.0,51.12649079395241,20.644909934682346,-0.0847169809511317
2025-01-09 15:00:00,0.9656133109151186,0.1676342882481797,0.0,0.24160886279117097,0.7091148604444444,0.014889587679503104,0.0,0.0,50.57110937866124,21.04570300981603,0.0
2025-01-09 16:00:00,0.5836278779341119,0.16970530007355406,0.0,0.24437021189167016,0.32372634933333333,0.015531316709108367,0.0,0.0,50.001793376128454,20.579194895553805,-0.08976740180334424
2025-01-09 17:00:00,0.8964761243298066,0.17246664917405324,0.0,0.24805201069233573,0.6320371582222222,0.01638695541524872,0.0,0.0,49.47098913909579,21.08543170238393,0.0
2025-01-09 18:00:00,0.8218097473120107,0.17384732372430284,0.0,0.2498929100926685,0.5549594560000001,0.016957381219342284,0.0,0.0,48.915948752258466,20.622126268037682,-0.0746750090190058
2025-01-09 19:00:00,0.9898250057026136,0.17246664917405324,0.0,0.24805201069233573,0.7245304008888888,0.01724259412138907,0.0,0.0,48.41517651630513,21.149854972800426,0.0
2025-01-09 20:00:00,0.757814055786804,0.17177631189892845,0.0,0.24713156099216935,0.4932972942222222,0.01738520057241246,0.0,0.0,47.86987148497911,20.602726436891878,-0.07850293871929417
2025-01-09 21:00:00,1.1110945201813014,0.17108597462380365,0.0,0.24621111129200296,0.8478547244444444,0.017028684444853982,0.0,0.0,47.39979206036152,21.127376145870567,0.0
2025-01-09 22:00:00,0.7043932753646155,0.20013735338508384,0.038051506108000926,0.6204993812156936,0.0,0.08389389414892186,0.038051506108000926,0.0,50.21859823076896,20.7578436076389,-0.004270416049867028
2025-01-09 23:00:00,0.7244467621684877,0.17748906722278912,0.0,0.36318517093981495,0.32372634933333333,0.03753524189533946,0.0,0.0,52.20881293906492,20.619855234771062,-0.07658554799281674
2025-01-10 00:00:00,1.180866943564733,0.1669439509730549,0.0,0.2406884130910046,0.9249324266666666,0.015246103807061583,0.0,0.0,51.58541815910292,21.03736524768187,0.0
2025-01-10 01:00:00,0.5476954259658091,0.1662536136979301,0.0,0.23976796339083822,0.2928952684444444,0.015032194130526495,0.0,0.0,50.98016633554683,20.75997626658493,-0.0720831350414358
2025-01-10 02:00:00,1.2059117283082412,0.18279364469287715,0.030441204886400744,0.2659471075110481,0.9249324266666666,0.015032194130526495,0.030441204886400744,0.0,51.34809842188488,21.015556567179523,-0.00029657270579086514
2025-01-10 03:00:00,0.576543001003342,0.1648729391476805,0.0,0.23792706399050545,0.32372634933333333,0.014889587679503104,0.0,0.0,51.455028100760856,20.70208432070592,-0.07579019413018712
2025-01-10 04:00:00,1.1768286286365088,0.16418260187255573,0.0,0.23700661429033903,0.9249324266666666,0.014889587679503104,0.0,0.0,50.84292349466151,20.91408662463643,0.0
2025-01-10 05:00:00,1.1771138415385556,0.16418260187255573,0.0,0.23700661429033903,0.9249324266666666,0.015174800581549887,0.0,0.0,50.25021871121699,21.162535231610672,0.0
2025-01-10 06:00:00,1.1793112570664468,0.1655632764228053,0.0,0.23884751369067184,0.9249324266666666,0.015531316709108367,0.0,0.0,49.672813271261084,21.275661841453402,0.0
2025-01-10 07:00:00,0.8109652761235779,0.1669439509730549,0.0,0.2406884130910046,0.5549594560000001,0.015317407032573279,0.0,0.0,49.107695146627435,21.142008357518918,0.0
2025-01-10 08:00:00,0.9499125575686274,0.1676342882481797,0.0,0.24160886279117097,0.69369932,0.014604374777456321,0.0,0.0,48.54440203779064,20.610311716987738,-0.079580070271589
2025-01-10 09:00:00,1.1807178448822238,0.1676342882481797,0.0,0.24160886279117097,0.9249324266666666,0.014176555424386145,0.0,0.0,47.99360568657372,20.99657886318621,0.0
2025-01-10 10:00:00,1.1797260919565458,0.1669439509730549,0.0,0.2406884130910046,0.9249324266666666,0.014105252198874449,0.0,0.0,47.45656604079046,20.945480849231213,0.0
2025-01-10 11:00:00,1.1797260919565458,0.1669439509730549,0.030441204886400744,0.2406884130910046,0.9249324266666666,0.014105252198874449,0.030441204886400744,0.0,48.98417210910851,20.954727531186947,0.0
