occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.777,0.279,0.211,0.518,0.518,0.0,0.0,0.0,0.0,0.0,1.0,0.226,0,0,0,0
1.0,0.777,0.279,0.211,0.518,0.518,0.0,0.0,0.0,0.0,0.0,0.867,0.0752,0,0,0,0
1.0,0.772,0.336,0.211,0.515,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.877,0.585,0.0982,0.761,0.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.953,0.853,0.0,0.882,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.733,0.835,0.69,0.112,0.599,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0,0,0,0
0.5,0.748,0.476,0.211,0.424,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.748,0.476,0.211,0.424,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.727,0.463,0.211,0.371,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.767,0.788,0.683,0.0982,0.473,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.815,0.7,0.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0,0,0,0
