Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-09 15:00:00,0.6298374075582306,0.1650074399250741,0.11841499999999999,0.4764808709518499,0.13815083333333333,0.01520570327304727,0.0,0.11841499999999999,0.0,50.934272504195036,19.09503429913674,-0.06637791157008242
2025-01-09 16:00:00,1.4577844205518298,0.20057118519592498,0.1776225,1.1780796345059277,0.20722625,0.07247853604590238,0.0,0.1776225,0.0,50.72790283524079,19.121478693331646,-0.05846590655569646
2025-01-09 17:00:00,2.1769638200298123,0.23419001774639606,0.11841499999999999,1.0088192299243175,0.13815083333333333,0.11331616640179096,0.9166775903703706,0.11841499999999999,0.0,50.419207425963954,19.190384970141164,-0.04296686338182436
2025-01-09 18:00:00,1.7230213154967609,0.2797971309125462,0.1776225,1.1118548605854943,0.20722625,0.1289369278001552,0.2750032771111111,0.1776225,0.0,51.73566707027024,19.136717541356745,-0.05902870247268404
2025-01-09 19:00:00,1.1271700350474745,0.22927786575886105,0.1776225,0.774602874922466,0.20722625,0.14534091012500852,0.0,0.1776225,0.0,51.30058340433526,19.096318912332876,-0.06423442359965735
2025-01-09 20:00:00,1.3819716086576,0.25390899976335896,0.23682999999999998,0.9210715424148659,0.27630166666666667,0.18459839957606744,0.0,0.23682999999999998,0.0,50.9171541238918,19.110433313033923,-0.06508917288174411
2025-01-09 21:00:00,2.032271941742268,0.2281503480852881,0.1776225,0.7778489922601223,0.20722625,0.13051910911177525,0.9166775903703706,0.1776225,0.0,50.79550525767896,19.13825349292356,-0.050375803926282006
2025-01-09 22:00:00,0.691816821270797,0.17370062252196616,0.251631875,0.366901240300954,0.29357052083333335,0.03134506013650978,0.0,0.251631875,0.0,51.6141787247886,19.174304700518768,-0.06169808185936064
2025-01-09 23:00:00,0.6570448147020825,0.1650074399250741,0.26643374999999997,0.3297934261220176,0.310839375,0.016412013580064812,0.0,0.26643374999999997,0.0,51.409743147410914,19.218480674691868,-0.05239026279966114
2025-01-10 00:00:00,0.6035435113359392,0.16426414503478678,0.222028125,0.32880236626830134,0.2590328125,0.01570833256763791,0.0,0.222028125,0.0,51.20656913245417,19.20199475357895,-0.046701680609939976
2025-01-10 01:00:00,0.6756291194686791,0.16352085014449952,0.26643374999999997,0.3493829894777955,0.310839375,0.015406754990883526,0.0,0.26643374999999997,0.0,51.0048901411465,19.177906861741533,-0.05690572679390892
2025-01-10 02:00:00,0.6357975223850852,0.16277755525421223,0.251631875,0.3268202465608685,0.29357052083333335,0.015406754990883526,0.0,0.251631875,0.0,50.804553672759475,19.24720061100078,-0.04618062059117622
2025-01-10 03:00:00,0.62163938554341,0.16203426036392493,0.222028125,0.3474008697703628,0.2590328125,0.01520570327304727,0.0,0.222028125,0.0,50.60548383141597,19.208447251946772,-0.04849452663252987
2025-01-10 04:00:00,0.7155752388839185,0.16129096547363764,0.23682999999999998,0.42406786894420456,0.27630166666666667,0.01520570327304727,0.0,0.23682999999999998,0.0,50.40757293510547,19.143196676294487,-0.06866729055442562
2025-01-10 05:00:00,0.9647149933991592,0.16661720172749586,0.281235625,0.5203405131997405,0.32810822916666665,0.024598491995715052,0.09166775903703704,0.281235625,0.0,50.1557944314425,19.186349922023705,-0.05961456166068988
2025-01-10 06:00:00,3.1818955138611407,0.20353223939890258,0.222028125,0.5464991283244806,0.2590328125,0.08466959711073381,2.291693975925926,0.222028125,0.0,51.109460821769424,19.21156330112307,-0.04824377785285978
2025-01-10 07:00:00,1.7930634354024961,0.21429485861035383,0.222028125,0.42655996565219806,0.2590328125,0.09912530784289057,1.0083453494074075,0.222028125,0.0,51.58199865091076,19.16484933455803,-0.05916030436468714
2025-01-10 08:00:00,0.6899741092927257,0.1650074399250741,0.29603749999999995,0.3297934261220176,0.34537708333333333,0.014803599837374755,0.0,0.29603749999999995,0.0,51.84505742084969,19.19915198037058,-0.056711311768550904
2025-01-10 09:00:00,0.581455000242673,0.1650074399250741,0.222028125,0.30822174305880706,0.2590328125,0.014200444683865983,0.0,0.222028125,0.0,51.639685854919065,19.19400806281104,-0.04874506984593629
2025-01-10 10:00:00,0.6494503389128033,0.16426414503478678,0.29603749999999995,0.2899733367545222,0.34537708333333333,0.014099918824947854,0.0,0.29603749999999995,0.0,51.43545095537979,19.14755682047383,-0.06886969855595677
2025-01-10 11:00:00,0.5587917314668279,0.16426414503478678,0.222028125,0.28565900014188006,0.2590328125,0.014099918824947854,0.0,0.222028125,0.0,51.232664975938384,19.223873612534135,-0.04420226772869533
2025-01-10 12:00:00,0.6368937271684632,0.18873134966346872,0.20722625,0.34607486128190385,0.2417639583333333,0.049054907553226015,0.0,0.20722625,0.0,50.99012297415993,19.147129138855497,-0.06124642778897413
2025-01-10 13:00:00,0.7067988968279764,0.19639155461283783,0.23682999999999998,0.3695423461475786,0.27630166666666667,0.06095488401373105,0.0,0.23682999999999998,0.0,50.64976197694516,19.14672096154297,-0.05458193500041523
2025-01-10 14:00:00,1.6963207805311513,0.1975286162850098,0.1776225,0.41734112910406956,0.20722625,0.06340805201967423,1.0083453494074075,0.1776225,0.0,51.28588071327684,19.146836169640203,-0.05250767628991231
2025-01-10 15:00:00,0.7729226310103292,0.18260197316815627,0.1776225,0.5240935041919443,0.20722625,0.041602876818384725,0.0,0.1776225,0.0,51.53626901484003,19.128568807151716,-0.05778946906424108
2025-01-10 16:00:00,0.9961656261759738,0.167237324595936,0.1776225,0.7728289401726635,0.20722625,0.016110436003310427,0.0,0.1776225,0.0,51.28580893125495,19.129556427102266,-0.055993232346035704
