occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.68,0.0555,0.252,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0,0,0,0
1.0,0.68,0.0555,0.252,0.252,0.0,0.0,0.101,0.733,0.0,0.733,0.135,0,0,0,0
1.0,0.68,0.0555,0.252,0.252,0.0,0.0,0.5,1.0,0.0,0.267,0.135,0,0,0,0
1.0,0.709,0.0695,0.298,0.298,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
1.0,0.719,0.0745,0.315,0.315,0.0,0.0,0.0,0.133,0.867,0.0,0.163,0,0,0,0
1.0,0.719,0.0745,0.315,0.315,0.0,0.0,0.0,0.0,1.0,0.733,0.0,0,0,0,0
1.0,0.719,0.0745,0.315,0.315,0.0,0.0,0.0,0.0,1.0,0.267,0.0,0,0,0,0
1.0,0.729,0.086,0.328,0.328,0.0,0.0,0.0,0.0,1.0,0.0,0.213,0,0,0,0
1.0,0.732,0.0901,0.333,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.357,0,0,0,0
1.0,0.732,0.0901,0.333,0.333,0.0,0.0,0.354,0.0,0.533,0.0,0.0,0,0,0,0
0.756,0.67,0.0629,0.229,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.647,0.0588,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0,0,0,0
0.667,0.647,0.0608,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.647,0.0608,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0,0,0,0
0.667,0.647,0.0608,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.422,0.584,0.0279,0.0884,0.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.578,0.624,0.0578,0.149,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.647,0.0729,0.185,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.647,0.0729,0.185,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.422,0.647,0.0755,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.647,0.0764,0.181,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0764,0.181,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0764,0.181,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.647,0.0828,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.647,0.0851,0.179,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0851,0.179,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.647,0.0851,0.179,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0882,0.181,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0894,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.647,0.0894,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0894,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.656,0.0964,0.194,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0889,0.588,0.0381,0.089,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.244,0.648,0.0927,0.188,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.694,0.139,0.287,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.699,0.146,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.578,0.799,0.241,0.493,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.836,0.275,0.561,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.846,0.344,0.644,0.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.369,0.674,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.369,0.674,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.849,0.369,0.674,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.84,0.475,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.514,0.668,0.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.514,0.668,0.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.514,0.668,0.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.667,0.817,0.602,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.81,0.633,0.549,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0,0,0,0
0.667,0.81,0.633,0.549,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.667,0.81,0.633,0.549,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.667,0.772,0.609,0.453,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0,0,0,0
0.667,0.758,0.601,0.418,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.601,0.418,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.758,0.601,0.418,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.72,0.428,0.379,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.911,0.759,0.493,0.481,0.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.779,0.54,0.523,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.779,0.54,0.523,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0,0,0,0
1.0,0.697,0.262,0.273,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.667,0.161,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.629,0.108,0.133,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0,0,0,0
1.0,0.576,0.0353,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
