Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-12 07:00:00,0.7192568824770819,0.2815518404655069,0.24649449339599508,0.3669335853784056,0.28307927083333334,0.019244026265342908,0.0,0.05,0.0038551183959950647,0.24263937500000005,0.0,50.46694903782768,21.914832202192244,-0.06115494408235348
2025-01-12 08:00:00,0.7488070900786011,0.2823323001003086,0.27147855553783873,0.3679741982248078,0.3123633333333334,0.018469558520459874,0.0,0.05,0.0037385555378386484,0.26774000000000003,0.0,50.35519620754947,21.93327945275227,-0.06101644325389562
2025-01-12 09:00:00,0.7385810552650046,0.2823323001003086,0.2629012552609557,0.3679741982248078,0.3026019791666667,0.01800487787353005,0.0,0.05,0.0035281302609556165,0.25937312500000004,0.0,50.24390402510471,21.913205636769526,-0.06644404401702572
2025-01-12 10:00:00,0.7081789331441141,0.2815518404655069,0.23801105553783866,0.3669335853784056,0.27331791666666666,0.017927431099041744,0.0,0.05,0.0037385555378386484,0.23427250000000002,0.0,50.13312522958641,21.922959689636745,-0.05358095107508844
2025-01-12 11:00:00,0.7081789331441141,0.2815518404655069,0.2381276183959951,0.3669335853784056,0.27331791666666666,0.017927431099041744,0.0,0.05,0.0038551183959950647,0.23427250000000002,0.0,50.022769015231034,21.920070120901535,-0.06128737734859069
2025-01-12 12:00:00,0.6908148972780734,0.28311275973511024,0.22112516169003388,0.36901481107121004,0.25379520833333336,0.01800487787353005,0.0,0.05,0.0035864116900338238,0.21753875000000003,0.0,49.912906600017195,21.893487694494876,-0.07221105989198265
2025-01-12 13:00:00,0.6129564042682051,0.28311275973511024,0.153957035973721,0.36901481107121004,0.17570437500000002,0.01823721819699496,0.0,0.05,0.003353285973720993,0.15060375000000004,0.0,49.80353698740114,21.970054612858277,-0.04976229619369808
2025-01-12 14:00:00,0.603349943650515,0.28311275973511024,0.14623125669358128,0.36901481107121004,0.16594302083333334,0.01839211174597157,0.0,0.05,0.003994381693581278,0.142236875,0.0,49.69468140024037,21.891818650478886,-0.06561981477057875
2025-01-12 15:00:00,0.6935045697012174,0.3131643889755717,0.12174902697401178,0.4516916639266802,0.13665895833333333,0.05515394744120386,0.0,0.05,0.004612776974011764,0.11713625000000001,0.0,49.50717812338242,21.919712179438196,-0.05740143430544998
2025-01-12 16:00:00,0.9353572523538833,0.37024845629115816,0.1335152267327813,0.6103449162290111,0.1464203125,0.12859202362487218,0.0,0.05,0.00801210173278127,0.12550312500000002,0.0,49.35244008396998,21.980876367907957,-0.04331442349953007
2025-01-12 17:00:00,2.6414269889097133,0.4881654651924282,0.1369145514915508,1.0706989862307836,0.1464203125,0.27429458173448523,1.1000131084444444,0.05,0.011411426491550775,0.12550312500000002,0.0,50.40939254507751,21.901696672654076,-0.06514220671080515
2025-01-12 18:00:00,3.331253534010347,0.5789606294478301,0.09271945966078893,1.757459088751695,0.09761354166666666,0.3261677951475409,1.1000131084444444,0.05,0.009050709660788907,0.08366875000000001,0.0,51.618324062144055,21.928294599924392,-0.05163449445173989
2025-01-12 19:00:00,2.0239649990943516,0.5138202425477785,0.13228698024875368,1.507748818841395,0.1464203125,0.3197958677529564,0.0,0.05,0.006783855248753653,0.12550312500000002,0.0,51.53933840029356,21.925315747868826,-0.05854937777232247
2025-01-12 20:00:00,1.7091236169015374,0.4409657601842419,0.16441706804096234,1.212375839050342,0.18546572916666668,0.26128204868452853,0.0,0.05,0.005446443040962299,0.158970625,0.0,51.251116395350856,21.90739574864424,-0.06354436814501424
2025-01-12 21:00:00,2.4622450087701058,0.4077801459152351,0.1547710622622492,1.1203259238666838,0.17570437500000002,0.1995371195330515,0.9166775903703706,0.05,0.004167312262249153,0.15060375000000004,0.0,51.68462412837518,21.731071417455453,-0.056789082305295814
2025-01-12 22:00:00,1.2395894991551943,0.374023814112619,0.16239685780164742,0.835269902319211,0.18546572916666668,0.1688538676693167,0.0,0.05,0.0034262328016474042,0.158970625,0.0,51.77366843296972,21.677493690855794,-0.06726534865191679
2025-01-12 23:00:00,0.9737563346442853,0.34420621995202705,0.22025948433069412,0.5898073485381368,0.25379520833333336,0.08015377777281528,0.0,0.05,0.002720734330694064,0.21753875000000003,0.0,51.44824326579657,21.73373771609393,-0.05382999512135734
2025-01-13 00:00:00,0.7109367146750117,0.2815518404655069,0.23607118926084286,0.3684522185174905,0.27331791666666666,0.01916657949085461,0.0,0.05,0.0017986892608428439,0.23427250000000002,0.0,51.14597347389333,21.69843379837272,-0.06184801288549604
2025-01-13 01:00:00,0.7377738028406226,0.29534845686356775,0.2351491441909917,0.3935089842264969,0.27331791666666666,0.020946901947458987,0.0,0.05,0.0008766441909916237,0.23427250000000002,0.0,51.02628611801078,21.69936552797399,-0.05873425127293259
2025-01-13 02:00:00,0.7086231486587425,0.27999092119590363,0.235006820232398,0.36637099282468605,0.27331791666666666,0.018934239167389698,0.0,0.05,0.0007343202323979861,0.23427250000000002,0.0,50.907212989586256,21.711742815986725,-0.05464748227981075
2025-01-13 03:00:00,0.7171889964300303,0.27921046156110196,0.24328965270288258,0.3653303799782838,0.28307927083333334,0.018779345618413087,0.0,0.05,0.0006502777028825564,0.24263937500000005,0.0,50.78866449251289,21.680924651103332,-0.06929311127664821
2025-01-13 04:00:00,0.7063870294169613,0.2784300019263003,0.23524976583792204,0.3642897671318816,0.27331791666666666,0.018779345618413087,0.0,0.05,0.000977265837922004,0.23427250000000002,0.0,50.670593583954194,21.710600536447583,-0.05033052792446367
2025-01-13 05:00:00,0.7262195248482478,0.2784300019263003,0.25234608496260985,0.3642897671318816,0.292840625,0.019089132716366305,0.0,0.05,0.0013398349626098614,0.25100625000000004,0.0,50.55308509472865,21.690236515920866,-0.05376487374559667
2025-01-13 06:00:00,0.8284806632474871,0.28659779738346003,0.3205565171741267,0.37945994537581856,0.37093145833333335,0.028089259538335118,0.0,0.05,0.002615267174126667,0.31794125,0.0,50.43646157276978,21.91815161980681,-0.06948504042834026
2025-01-13 07:00:00,1.0706787984519974,0.38107446748123713,0.2632282433959951,0.5685556572801181,0.3026019791666667,0.1495211620052127,0.0,0.05,0.0038551183959950647,0.25937312500000004,0.0,50.32081158670318,21.905278664636388,-0.06556901823110159
2025-01-13 08:00:00,1.1101312980783757,0.3897202559107488,0.2380110555378387,0.6292663802587687,0.27331791666666666,0.15754700115294035,0.0,0.05,0.0037385555378386484,0.23427250000000002,0.0,50.205690086158555,21.919941634876192,-0.058402580747951245
2025-01-13 09:00:00,1.144025774568831,0.3897202559107488,0.2294337552609557,0.6694756440549934,0.26355656250000004,0.16099356801383752,0.0,0.05,0.0035281302609556165,0.22590562500000005,0.0,50.09110541159408,21.939877908426848,-0.05440839801515705
2025-01-13 10:00:00,2.086348793370204,0.38893979627594716,0.2296441805378387,0.6998431256760286,0.26355656250000004,0.15627151482380466,0.9166775903703706,0.05,0.0037385555378386484,0.22590562500000005,0.0,50.37739116152185,21.917520011189634,-0.06625300159071745
2025-01-13 11:00:00,1.1928026564140235,0.38893979627594716,0.2381276183959951,0.7189986118622128,0.27331791666666666,0.15048612788514396,0.0,0.05,0.0038551183959950647,0.23427250000000002,0.0,51.624898179277494,21.91955348228152,-0.06433632704474496
2025-01-13 12:00:00,3.532369745702439,0.3905007155455505,0.19602453669003383,1.7362713714848248,0.22451114583333337,0.14657084282872557,1.3750163855555557,0.05,0.0035864116900338238,0.19243812500000004,0.0,51.434790169067,21.942022167050926,-0.05392297475339915
2025-01-13 13:00:00,1.7197935000566678,0.3905007155455505,0.212525160973721,1.2800157589378471,0.24403385416666667,0.14574388695215398,0.0,0.05,0.003353285973720993,0.20917187500000003,0.0,51.50406437537943,21.887378088585606,-0.06915733417240245
2025-01-13 14:00:00,2.2537935177996955,0.39154942605151183,0.1964325066935813,0.8215344161653959,0.22451114583333337,0.1494026063935589,1.0083453494074075,0.05,0.003994381693581278,0.19243812500000004,0.0,51.31148900069159,21.90952047500582,-0.06690727027799089
