occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.667,0.732,0.0936,0.336,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0,0,0,0
0.667,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.667,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0,0,0,0
0.667,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.108,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0,0
0.667,0.732,0.117,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0,0
0.578,0.71,0.103,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,0,0,0,0
0.333,0.647,0.0664,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.422,0.67,0.0831,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0,0,0,0
0.667,0.732,0.129,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,0,0,0,0
0.667,0.732,0.129,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.131,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.136,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,0,0,0,0
0.756,0.755,0.152,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.196,0.444,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0,0,0,0
1.0,0.818,0.203,0.443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.911,0.795,0.203,0.405,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0,0,0,0
0.667,0.732,0.153,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.71,0.135,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,0,0,0,0
0.667,0.647,0.0856,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.647,0.0888,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.578,0.647,0.0888,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
