Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-23 07:00:00,0.735061358125461,0.18736257783152238,0.2973219042650771,0.37513839171497854,0.30170875,0.05821421641048249,0.2586075,0.03871440426507711,0.0,50.51107270580754,17.481200805156274,-0.059370403061995286
2025-01-23 08:00:00,0.796447467640428,0.2136751957575542,0.22987333333333335,0.43049786378309535,0.2681855555555555,0.09776404830177701,0.22987333333333335,0.0,0.0,50.925996433689214,17.517427424961543,-0.051101673503178444
2025-01-23 09:00:00,1.1582012454973436,0.19341481724630247,0.6177845833333334,0.37174490958093426,0.7207486805555555,0.06570765536085377,0.6177845833333334,0.0,0.0,49.927283355425466,20.33240646117953,-0.4263520602168491
2025-01-23 10:00:00,0.8711717190524674,0.19173834005436666,0.42662565426507715,0.35536333771771855,0.45256312499999996,0.06324525633474884,0.38791125000000004,0.03871440426507711,0.0,49.525719928653984,20.804152111705626,-0.05828706661148437
2025-01-23 11:00:00,1.057451025133579,0.19173834005436666,0.34481,0.5938860619943834,0.4022783333333333,0.06128662980586222,0.34481,0.0,0.0,51.30670691731193,20.878842486043187,-0.04804064078021817
2025-01-23 12:00:00,0.8040038030537925,0.1930532681974615,0.3304429166666667,0.35882811115633045,0.38551673611111104,0.05965895578635098,0.3304429166666667,0.0,0.0,50.4295282538792,20.772072457976353,-0.06302397424727536
2025-01-23 13:00:00,0.7574917759438109,0.1930532681974615,0.3337989517847592,0.3630481847502472,0.33523194444444443,0.0592116467491193,0.28734166666666666,0.04645728511809253,0.0,50.894494877762014,20.82888516896604,-0.052544683339426496
2025-01-23 14:00:00,0.8046103869606708,0.1930532681974615,0.28734166666666666,0.4093320707605134,0.33523194444444443,0.06004637175571299,0.28734166666666666,0.0,0.0,51.078983626512,20.79309033251154,-0.06174620142386817
2025-01-23 15:00:00,0.9639999808852445,0.1956326693318537,0.28734166666666666,0.564071355682266,0.33523194444444443,0.06469668075853413,0.28734166666666666,0.0,0.0,50.18648213656186,20.844471721645927,-0.04820987106561958
2025-01-23 16:00:00,1.2916758086036955,0.2038989661136008,0.32605607093174377,0.879263511484977,0.33523194444444443,0.07718035267427403,0.28734166666666666,0.03871440426507711,0.0,49.3552717638659,20.845421916860847,-0.053693224737372404
